,Enzyme Common Name,,EnzymeId
1,malate dehydrogenase,primary,606
2,"ATPase activity, coupled",primary,641
3,ORF,primary,
4,two-component sensor activity,primary,
5,ORF,primary,
6,ORF,primary,
7,ORF,primary,
8,acylphosphatase activity,primary,480
9,translation release factor activity,primary,
10,transporter activity,primary,
11,ORF,primary,
12,protein binding,primary,
13,cytoskeletal protein binding//actin binding,primary,
14,ORF,primary,
15,zinc ion binding,primary,
16,ORF,primary,
17,protein tyrosine phosphatase activity,primary,1490
18,ribosome binding//tRNA binding//translation initiation factor activity//serine-type endopeptidase activity,primary,
19,ORF,primary,
20,DNA binding,primary,
21,ORF,primary,
22,translation initiation factor activity,primary,
23,serine-type endopeptidase activity,primary,
24,ORF,primary,
25,neuropeptide hormone activity//diuretic hormone activity//receptor binding//myostimulatory hormone activity,primary,
26,ORF,primary,
27,ORF,primary,
28,ORF,primary,
29,DNA binding//transcription factor activity//zinc ion binding,primary,
30,phosphatidylethanolamine binding,primary,
31,ORF,primary,
32,ORF,primary,
33,mRNA (guanine-N7-)-methyltransferase activity,primary,1392
34,ORF,primary,
35,iron ion transmembrane transporter activity,primary,
36,protein serine/threonine kinase activity,primary,1488
37,MAP kinase kinase kinase activity,primary,1474
38,GTPase activity,primary,1171
39,DNA binding,primary,
40,protein binding,primary,
41,carboxypeptidase A activity,primary,1442
42,transferase activity,primary,1401
43,NAD+ ADP-ribosyltransferase activity,primary,1389
44,DNA-dependent ATPase activity,primary,641
45,inositol-1(or 4)-monophosphatase activity,primary,868
46,structural constituent of ribosome,primary,
47,protein tyrosine phosphatase activity,primary,1490
48,UDP-glucose 4-epimerase activity,primary,296
49,metalloexopeptidase activity,primary,
50,ORF,primary,
51,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
52,structural constituent of ribosome,primary,
53,protein binding//serine-type endopeptidase activity,primary,
54,mRNA binding//nucleic acid binding,primary,
55,ORF,primary,
56,signal transducer activity//GTP binding,primary,
57,ORF,primary,
58,ORF,primary,
59,unfolded protein binding//phosphopantetheine binding//heat shock protein binding,primary,
60,ORF,primary,
61,ATP binding//methyltransferase activity,primary,
62,GTPase activity,primary,1171
63,superoxide dismutase activity,primary,1229
64,transmembrane transporter activity,primary,
65,ORF,primary,
66,galactosyltransferase activity,primary,357
67,ORF,primary,
68,ORF,primary,
69,sequence-specific DNA binding//DNA binding//signal transducer activity//transcription factor activity,primary,
70,long-chain-fatty-acid-CoA ligase activity,primary,987
71,ORF,primary,
72,zinc ion binding//nucleic acid binding,primary,
73,protein tyrosine kinase activity//ATP binding//protein binding,primary,
74,ORF,primary,
75,ORF,primary,
76,pepsin A activity,primary,1309
77,ORF,primary,
78,ORF,primary,
79,calmodulin binding,primary,
80,ORF,primary,
81,nucleoside diphosphate kinase activity,primary,62
82,ORF,primary,
83,DNA binding,primary,
84,guanylate kinase activity,primary,279
85,voltage-gated sodium channel activity,primary,
86,NADH dehydrogenase activity,primary,1214
87,receptor binding,primary,
88,glycine transmembrane transporter activity,primary,
89,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity,primary,462
90,ORF,primary,
91,L-malate dehydrogenase activity,primary,1288
92,structural constituent of ribosome,primary,
93,DNA binding//zinc ion binding//nucleic acid binding,primary,
94,[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity,primary,1545
95,ion channel activity,primary,
96,ORF,primary,
97,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",primary,335
98,ceramidase activity,primary,178
99,binding,primary,
100,ORF,primary,
101,membrane dipeptidase activity,primary,367
102,ORF,primary,
103,ORF,primary,
104,"nucleotide binding//translation repressor activity, nucleic acid binding//mRNA binding//translation regulator activity",primary,
105,taste receptor activity,primary,
106,ORF,primary,
107,protein binding//zinc ion binding//nucleic acid binding,primary,
108,nicotinic acetylcholine-activated cation-selective channel activity,primary,
109,ORF,primary,
110,ORF,primary,
111,ubiquinol-cytochrome-c reductase activity,primary,1537
112,uridine kinase activity,primary,1270
113,ORF,primary,
114,serine-type endopeptidase inhibitor activity,primary,
115,ORF,primary,
116,"endoribonuclease activity, producing 5'-phosphomonoesters",primary,
117,transcription corepressor activity,primary,
118,calcium ion binding,primary,
119,transcription repressor activity//mRNA binding//zinc ion binding//nucleic acid binding,primary,
120,ORF,primary,
121,protein binding,primary,
122,protein transmembrane transporter activity,primary,
123,ORF,primary,
124,actin binding,primary,
125,ORF,primary,
126,RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding,primary,
127,protein binding//cAMP-dependent protein kinase regulator activity,primary,
128,ORF,primary,
129,microtubule binding,primary,
130,ORF,primary,
131,ORF,primary,
132,ORF,primary,
133,ORF,primary,
134,zinc ion binding,primary,
135,tricarboxylate secondary active transmembrane transporter activity//binding//transmembrane transporter activity,primary,
136,acid phosphatase activity,primary,
137,structural constituent of ribosome,primary,
138,ORF,primary,
139,water channel activity,primary,
140,monosaccharide transmembrane transporter activity,primary,
141,ORF,primary,
142,ORF,primary,
143,ORF,primary,
144,unfolded protein binding,primary,
145,ORF,primary,
146,DNA binding,primary,
147,hormone activity//sugar binding//binding//galactose binding,primary,
148,inositol or phosphatidylinositol phosphatase activity,primary,414
149,ORF,primary,
150,ORF,primary,
151,chromatin binding,primary,
152,GTPase activity,primary,1171
153,ORF,primary,
154,guanylate kinase activity,primary,279
155,N-acetylglucosamine-6-sulfatase activity,primary,1279
156,ORF,primary,
157,structural constituent of ribosome,primary,
158,endopeptidase activity//threonine endopeptidase activity,primary,
159,binding,primary,
160,calcium ion binding,primary,
161,ORF,primary,
162,structural constituent of ribosome,primary,
163,"electron carrier activity//electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity//iron ion binding//heme binding",primary,
164,cathepsin B activity,primary,895
165,metalloendopeptidase activity,primary,
166,mRNA binding,primary,
167,protein binding,primary,
168,ORF,primary,
169,ORF,primary,
170,ubiquitin-protein ligase activity,primary,1480
171,actin binding,primary,
172,ORF,primary,
173,ferrous iron binding//oxidoreductase activity//ferric iron binding,primary,
174,serine-type peptidase activity,primary,
175,ORF,primary,
176,electron carrier activity//very-long-chain-acyl-CoA dehydrogenase activity//FAD binding,primary,
177,amino acid transmembrane transporter activity,primary,
178,Rab GTPase activator activity//Rho guanyl-nucleotide exchange factor activity,primary,
179,gap junction channel activity,primary,
180,nucleoside-triphosphatase activity,primary,669
181,microtubule binding//protein binding,primary,
182,ORF,primary,
183,sulfotransferase activity,primary,
184,ORF,primary,
185,ORF,primary,
186,ORF,primary,
187,deoxyhypusine monooxygenase activity,primary,1435
188,serine-type endopeptidase inhibitor activity,primary,
189,protein binding,primary,
190,structural constituent of ribosome,primary,
191,ORF,primary,
192,ORF,primary,
193,cytoskeletal protein binding//structural constituent of muscle//zinc ion binding//calcium ion binding,primary,
194,ORF,primary,
195,transcription factor activity//zinc ion binding,primary,
196,"peptidase activity//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,
197,ORF,primary,
198,ORF,primary,
199,ORF,primary,
200,ORF,primary,
201,actin binding,primary,
202,binding,primary,
203,metal ion transmembrane transporter activity,primary,
204,ORF,primary,
205,ORF,primary,
206,ORF,primary,
207,ORF,primary,
208,ORF,primary,
209,zinc ion binding,primary,
210,phosphopantetheine binding,primary,
211,ORF,primary,
212,ORF,primary,
213,ORF,primary,
214,alcohol dehydrogenase activity,primary,53
215,ORF,primary,
216,DNA binding,primary,
217,signal transducer activity//protein binding,primary,
218,transcription factor activity,primary,
219,S-adenosylmethionine-dependent methyltransferase activity,primary,
220,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water//heme binding//iron ion binding",primary,
221,ATPase activity,primary,641
222,juvenile-hormone esterase activity,primary,1348
223,ORF,primary,
224,ORF,primary,
225,ORF,primary,
226,ORF,primary,
227,ORF,primary,
228,ORF,primary,
229,ORF,primary,
230,tryptophan 5-monooxygenase activity,primary,1261
231,protein disulfide isomerase activity,primary,1434
232,DNA binding,primary,
233,poly(rC) binding,primary,
234,ORF,primary,
235,polynucleotide adenylyltransferase activity,primary,1387
236,3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity,primary,
237,zinc ion binding,primary,
238,ORF,primary,
239,chymotrypsin activity,primary,162
240,trypsin activity,primary,823
241,microtubule binding,primary,
242,phosphoribosylaminoimidazole carboxylase activity,primary,1206
243,structural constituent of cytoskeleton,primary,
244,ORF,primary,
245,calcium ion binding,primary,
246,ORF,primary,
247,rRNA (uridine-2'-O-)-methyltransferase activity,primary,
248,ORF,primary,
249,protein binding,primary,
250,"hydrogen-exporting ATPase activity, phosphorylative mechanism",primary,1338
251,structural constituent of ribosome,primary,
252,ORF,primary,
253,ORF,primary,
254,serine-type endopeptidase inhibitor activity,primary,
255,triacylglycerol lipase activity,primary,309
256,ORF,primary,
257,ORF,primary,
258,somatostatin receptor activity//G-protein coupled receptor activity//allatostatin receptor activity//neuropeptide receptor activity,primary,
259,ORF,primary,
260,ORF,primary,
261,protein binding,primary,
262,ORF,primary,
263,poly-pyrimidine tract binding//nucleotide binding//mRNA binding,primary,
264,ORF,primary,
265,structural constituent of chitin-based cuticle,primary,
266,ORF,primary,
267,nucleic acid binding,primary,
268,serine-type endopeptidase inhibitor activity,primary,
269,SH2 domain binding,primary,
270,"cation binding//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,
271,ORF,primary,
272,elastase activity,primary,1328
273,protein kinase activity//ATP binding,primary,
274,ORF,primary,
275,receptor binding,primary,
276,ORF,primary,
277,procollagen-proline 4-dioxygenase activity,primary,833
278,ORF,primary,
279,Ras GTPase activator activity,primary,
280,ORF,primary,
281,tRNA-pseudouridine synthase activity,primary,1405
282,DNA binding,primary,
283,ORF,primary,
284,serine-type endopeptidase activity,primary,
285,binding,primary,
286,hexokinase activity,primary,209
287,microtubule binding,primary,
288,ATP-dependent helicase activity,primary,641
289,ORF,primary,
290,protein serine/threonine kinase activity,primary,1451
291,transcription factor activity,primary,
292,ORF,primary,
293,calmodulin binding//sequence-specific DNA binding//DNA binding//RNA polymerase II transcription factor activity//transcription factor activity//protein homodimerization activity,primary,
294,ORF,primary,
295,ORF,primary,
296,ORF,primary,
297,pyrimidodiazepine synthase activity,primary,1043
298,ORF,primary,
299,ORF,primary,
300,nucleic acid binding//endonuclease activity,primary,
301,ORF,primary,
302,endodeoxyribonuclease activity//nucleic acid binding,primary,
303,ORF,primary,
304,GTPase activity,primary,1171
305,ORF,primary,
306,"binding//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",primary,
307,transcription regulator activity,primary,
308,electron carrier activity//heme binding//fatty acid (omega-1)-hydroxylase activity//iron ion binding,primary,
309,ORF,primary,
310,sodium:potassium-exchanging ATPase activity,primary,628
311,ORF,primary,
312,ORF,primary,
313,zinc ion binding//nucleic acid binding,primary,
314,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",primary,335
315,ORF,primary,
316,[acyl-carrier-protein] S-malonyltransferase activity,primary,1436
317,transcription repressor activity//DNA binding,primary,
318,ORF,primary,
319,ORF,primary,
320,lipoprotein binding,primary,
321,ORF,primary,
322,protein binding,primary,
323,ORF,primary,
324,protein binding,primary,
325,ORF,primary,
326,alpha-methylacyl-CoA racemase activity,primary,
327,ORF,primary,
328,"inositol-1,4-bisphosphate 1-phosphatase activity",primary,988
329,odorant binding,primary,
330,ORF,primary,
331,glutathione transferase activity,primary,650
332,[methionine synthase]-cob(I)alamin,primary,
333,ATP-dependent RNA helicase activity,primary,641
334,DNA binding,primary,
335,ORF,primary,
336,nucleotide binding//mRNA binding//RNA binding//zinc ion binding//nucleic acid binding,primary,
337,dihydropyrimidinase activity,primary,1363
338,structural constituent of pupal chitin-based cuticle//structural constituent of chitin-based cuticle,primary,
339,ORF,primary,
340,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
341,ORF,primary,
342,ORF,primary,
343,ORF,primary,
344,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,
345,zinc ion binding,primary,
346,ORF,primary,
347,ORF,primary,
348,ORF,primary,
349,zinc ion binding//nucleic acid binding,primary,
350,secondary active organic cation transmembrane transporter activity,primary,
351,ORF,primary,
352,phosphoribosylformylglycinamidine synthase activity,primary,108
353,metallopeptidase activity//dipeptidyl-peptidase and tripeptidyl-peptidase activity,primary,
354,ORF,primary,
355,pyroglutamyl-peptidase II activity,primary,1041
356,ORF,primary,
357,taste receptor activity,primary,
358,aspartate-ammonia ligase activity,primary,1260
359,endopeptidase activity//threonine endopeptidase activity,primary,
360,ORF,primary,
361,ORF,primary,
362,ORF,primary,
363,calcium ion binding,primary,
364,ORF,primary,
365,ORF,primary,
366,ORF,primary,
367,ORF,primary,
368,epoxide hydrolase activity,primary,1163
369,N-acetyltransferase activity,primary,
370,ORF,primary,
371,structural constituent of ribosome,primary,
372,HNK-1 sulfotransferase activity,primary,
373,neuronal pentraxin receptor activity,primary,
374,ORF,primary,
375,DNA binding,primary,
376,kinesin-associated mitochondrial adaptor activity//protein binding,primary,
377,nucleic acid binding,primary,
378,tyrosine-tRNA ligase activity,primary,1432
379,arylformamidase activity,primary,995
380,ORF,primary,
381,ORF,primary,
382,ORF,primary,
383,"sequence-specific DNA binding//transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity//DNA binding//specific transcriptional repressor activity//protein binding//RNA polymerase II transcription factor activity//transcription factor activity",primary,
384,DNA binding//peptidase activity,primary,
385,ORF,primary,
386,mRNA binding,primary,
387,serine-type endopeptidase activity,primary,
388,flavin-linked sulfhydryl oxidase activity,primary,670
389,phosphogluconate dehydrogenase (decarboxylating) activity,primary,1070
390,heme oxygenase (decyclizing) activity,primary,971
391,"transferase activity, transferring groups other than amino-acyl groups",primary,
392,Rab GTPase activator activity,primary,
393,tetracycline:hydrogen antiporter activity,primary,
394,sodium:potassium-exchanging ATPase activity,primary,628
395,ORF,primary,
396,ORF,primary,
397,NAD+ kinase activity,primary,1181
398,ORF,primary,
399,serine-type endopeptidase inhibitor activity,primary,
400,acyltransferase activity,primary,
401,ORF,primary,
402,ORF,primary,
403,ORF,primary,
404,ORF,primary,
405,ORF,primary,
406,protein kinase activity,primary,1451
407,sodium channel activity,primary,
408,GTPase activity,primary,1171
409,GTPase activity,primary,1171
410,nucleotide binding//mRNA binding//nucleic acid binding,primary,
411,ORF,primary,
412,signal peptide peptidase activity,primary,
413,ORF,primary,
414,oxidoreductase activity//iron ion binding,primary,
415,diacylglycerol-activated phospholipid-dependent protein kinase C inhibitor activity//protein domain specific binding,primary,
416,single-stranded DNA binding,primary,
417,ubiquitin thiolesterase activity,primary,1532
418,protein binding,primary,
419,ORF,primary,
420,protein serine/threonine kinase activity,primary,1451
421,protein binding,primary,
422,translation initiation factor activity,primary,
423,endopeptidase inhibitor activity//protein binding//eukaryotic cell surface binding,primary,
424,protein serine/threonine kinase activity,primary,1451
425,ORF,primary,
426,ORF,primary,
427,ionotropic glutamate receptor activity,primary,
428,anion exchanger activity,primary,
429,ORF,primary,
430,cytochrome-c oxidase activity,primary,1456
431,dihydrolipoyl dehydrogenase activity,primary,1102
432,ORF,primary,
433,ORF,primary,
434,structural molecule activity,primary,
435,inorganic diphosphatase activity,primary,473
436,GTPase activity,primary,1171
437,protein serine/threonine kinase activity,primary,1451
438,NADH dehydrogenase activity,primary,1214
439,GTPase activity,primary,1171
440,DNA binding,primary,
441,ORF,primary,
442,binding//protein serine/threonine phosphatase activity,primary,
443,"electron carrier activity//2 iron, 2 sulfur cluster binding",primary,
444,structural constituent of ribosome//zinc ion binding//nucleic acid binding,primary,
445,ORF,primary,
446,ORF,primary,
447,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,
448,3'-5'-exoribonuclease activity//RNA binding,primary,
449,aldose 1-epimerase activity,primary,107
450,ORF,primary,
451,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
452,nucleic acid binding//endonuclease activity,primary,
453,odorant binding,primary,
454,ORF,primary,
455,ORF,primary,
456,GTPase activity,primary,1171
457,ORF,primary,
458,ORF,primary,
459,peptidyl-prolyl cis-trans isomerase activity,primary,366
460,structural constituent of ribosome,primary,
461,ion channel activity,primary,
462,inorganic diphosphatase activity,primary,473
463,ORF,primary,
464,taste receptor activity,primary,
465,ORF,primary,
466,ORF,primary,
467,ORF,primary,
468,RNA polymerase II transcription mediator activity,primary,
469,ORF,primary,
470,ORF,primary,
471,4'-phosphopantothenoylcysteine synthetase,primary,448
472,ORF,primary,
473,ORF,primary,
474,ORF,primary,
475,guanyl-nucleotide exchange factor activity,primary,
476,microtubule motor activity//ATP binding//motor activity,primary,
477,ORF,primary,
478,ORF,primary,
479,ORF,primary,
480,mRNA binding,primary,
481,odorant binding,primary,
482,ORF,primary,
483,protein binding,primary,
484,calcium ion binding,primary,
485,structural constituent of ribosome,primary,
486,ORF,primary,
487,chitin binding,primary,
488,ATPase activity,primary,641
489,secondary active organic cation transmembrane transporter activity,primary,
490,ORF,primary,
491,ORF,primary,
492,ORF,primary,
493,ORF,primary,
494,ORF,primary,
495,GTPase activity,primary,1171
496,sugar binding,primary,1471
497,phospholipid-translocating ATPase activity,primary,461
498,ORF,primary,
499,binding,primary,
500,protein binding,primary,
501,carbohydrate binding,primary,
502,beta-catenin binding//cell adhesion molecule binding//protein binding//receptor activity//calcium ion binding,primary,
503,ORF,primary,
504,transcription cofactor activity,primary,
505,carboxylesterase activity,primary,1121
506,ORF,primary,
507,ORF,primary,
508,trypsin activity,primary,823
509,1-acylglycerol-3-phosphate O-acyltransferase activity,primary,22
510,ORF,primary,
511,protein-lysine 6-oxidase activity,primary,804
512,catalytic activity,primary,
513,ORF,primary,
514,alanine-tRNA ligase activity,primary,1419
515,membrane alanyl aminopeptidase activity,primary,1041
516,peptidyl-prolyl cis-trans isomerase activity,primary,366
517,serine-type peptidase activity,primary,
518,ORF,primary,
519,ORF,primary,
520,ORF,primary,
521,ORF,primary,
522,catalytic activity,primary,
523,ubiquitin-protein ligase activity,primary,1480
524,ORF,primary,
525,ORF,primary,
526,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity",primary,357
527,ORF,primary,
528,hormone binding//serine-type endopeptidase inhibitor activity,primary,
529,mannosyltransferase activity,primary,864
530,ORF,primary,
531,transcription factor activity,primary,
532,Rho guanyl-nucleotide exchange factor activity//guanyl-nucleotide exchange factor activity,primary,
533,chitin binding//structural constituent of peritrophic membrane,primary,
534,poly-pyrimidine tract binding//nucleotide binding//mRNA binding,primary,
535,ORF,primary,
536,chitin binding,primary,
537,G-protein coupled receptor kinase activity,primary,1475
538,ORF,primary,
539,high affinity inorganic phosphate:sodium symporter activity,primary,
540,oxidoreductase activity//transition metal ion binding,primary,
541,secretin-like receptor activity//calcitonin receptor activity//neuropeptide receptor activity,primary,
542,single-stranded DNA binding,primary,
543,calcium-dependent phospholipid binding,primary,
544,structural constituent of chitin-based cuticle,primary,
545,ORF,primary,
546,transcription regulator activity,primary,
547,choline-phosphate cytidylyltransferase activity,primary,923
548,two-component sensor activity//transcription activator activity//RNA polymerase II transcription factor activity//transcription factor activity,primary,
549,double-stranded RNA binding//cytoskeletal protein binding//actin binding,primary,
550,catalytic activity,primary,1121
551,ORF,primary,
552,structural constituent of pupal chitin-based cuticle,primary,
553,ORF,primary,
554,ORF,primary,
555,ORF,primary,
556,hydrogen:vesicular amine antiporter activity,primary,
557,laminin receptor activity//cell adhesion molecule binding//structural molecule activity//receptor activity,primary,
558,ORF,primary,
559,ORF,primary,
560,ORF,primary,
561,importin-alpha export receptor activity,primary,
562,taste receptor activity,primary,
563,ORF,primary,
564,ORF,primary,
565,ORF,primary,
566,neprilysin activity,primary,211
567,endopeptidase activity,primary,
568,ORF,primary,
569,nucleotide-sugar transmembrane transporter activity,primary,
570,receptor binding,primary,
571,transporter activity//serine-type endopeptidase inhibitor activity,primary,
572,ORF,primary,
573,SH3/SH2 adaptor activity//guanyl-nucleotide exchange factor activity,primary,
574,NEDD8 activating enzyme activity,primary,
575,structural constituent of muscle//motor activity,primary,
576,zinc ion binding,primary,
577,mevalonate kinase activity,primary,1149
578,ORF,primary,
579,dihydroorotate oxidase activity,primary,1256
580,RNA polymerase II transcription factor activity//transcription factor activity//sugar:hydrogen symporter activity//zinc ion binding,primary,
581,ORF,primary,
582,ORF,primary,
583,ORF,primary,
584,ORF,primary,
585,trypsin activity,primary,823
586,neurotransmitter transporter activity,primary,
587,ORF,primary,
588,ORF,primary,
589,ORF,primary,
590,ORF,primary,
591,metalloendopeptidase activity//zinc ion binding,primary,
592,calcium-dependent cysteine-type endopeptidase activity,primary,
593,open rectifier potassium channel activity,primary,
594,calcium ion binding,primary,
595,ORF,primary,
596,pyruvate dehydrogenase (acetyl-transferring) activity,primary,1534
597,oxidoreductase activity,primary,
598,guanyl nucleotide binding,primary,
599,ORF,primary,
600,DNA binding//transcription factor activity,primary,
601,ORF,primary,
602,ORF,primary,
603,ORF,primary,
604,ATPase activity,primary,641
605,aralkylamine N-acetyltransferase activity,primary,770
606,selenium binding,primary,
607,ORF,primary,
608,DNA binding//NAD-dependent histone deacetylase activity//NAD binding//zinc ion binding,primary,
609,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",primary,833
610,ORF,primary,
611,ORF,primary,
612,ORF,primary,
613,ORF,primary,
614,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
615,oxygen transporter activity,primary,
616,ORF,primary,
617,ORF,primary,
618,protein binding//phosphoinositide binding,primary,
619,ORF,primary,
620,ORF,primary,
621,ORF,primary,
622,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity,primary,
623,outward rectifier potassium channel activity,primary,
624,sequence-specific DNA binding//transcription factor activity,primary,
625,ORF,primary,
626,DNA binding//zinc ion binding,primary,
627,ORF,primary,
628,transcription factor activity,primary,
629,structural constituent of eye lens//structural constituent of chitin-based cuticle,primary,
630,NAD+ kinase activity,primary,1181
631,ORF,primary,
632,ORF,primary,
633,ORF,primary,
634,protein binding,primary,
635,protein serine/threonine kinase activity,primary,1451
636,DNA binding//protein binding//chromatin insulator sequence binding,primary,
637,aminoacylase activity,primary,143
638,neurotransmitter:sodium symporter activity//monoamine transmembrane transporter activity//serotonin transmembrane transporter activity//neurotransmitter transporter activity//cation channel activity,primary,
639,"ATPase activity, coupled",primary,641
640,ORF,primary,
641,glutathione peroxidase activity,primary,650
642,ORF,primary,
643,ORF,primary,
644,ORF,primary,
645,ORF,primary,
646,ORF,primary,
647,ORF,primary,
648,ORF,primary,
649,DNA binding,primary,
650,DNA binding,primary,
651,zinc ion binding//nucleic acid binding,primary,
652,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters",primary,
653,N-sulfoglucosamine sulfohydrolase activity,primary,1352
654,alpha-glucosidase activity,primary,40
655,NADH dehydrogenase activity,primary,1214
656,serine-type endopeptidase activity,primary,
657,chitin binding,primary,
658,"3',5'-cyclic-AMP phosphodiesterase activity",primary,1312
659,protein serine/threonine kinase activity,primary,1451
660,unfolded protein binding//heat shock protein binding,primary,
661,histone-lysine N-methyltransferase activity,primary,229
662,ORF,primary,
663,endodeoxyribonuclease activity//nucleic acid binding,primary,
664,dolichyl-phosphate beta-glucosyltransferase activity,primary,416
665,scavenger receptor activity,primary,
666,odorant binding,primary,
667,ORF,primary,
668,monocarboxylic acid transmembrane transporter activity,primary,
669,ORF,primary,
670,ORF,primary,
671,glutamine-fructose-6-phosphate transaminase (isomerizing) activity,primary,1056
672,ORF,primary,
673,ORF,primary,
674,GTPase activity,primary,1171
675,ORF,primary,
676,G-protein coupled receptor activity,primary,
677,transporter activity,primary,
678,ORF,primary,
679,transcription regulator activity//transcription factor activity,primary,
680,GTPase activator activity//protein binding,primary,
681,ORF,primary,
682,ORF,primary,
683,ORF,primary,
684,nicotinate phosphoribosyltransferase activity,primary,1
685,protein kinase activity,primary,
686,structural constituent of ribosome,primary,
687,ORF,primary,
688,ORF,primary,
689,NADH dehydrogenase activity,primary,1214
690,phosphoric monoester hydrolase activity,primary,
691,ORF,primary,
692,ORF,primary,
693,inositol-1(or 4)-monophosphatase activity,primary,868
694,"Gram-negative bacterial binding//pattern recognition receptor activity//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,
695,ORF,primary,
696,ORF,primary,
697,ORF,primary,
698,heat shock protein binding,primary,
699,ORF,primary,
700,thiamin diphosphokinase activity,primary,123
701,ORF,primary,
702,ORF,primary,
703,hydrolase activity,primary,
704,ORF,primary,
705,hedgehog receptor activity,primary,
706,zinc ion binding,primary,
707,ORF,primary,
708,DNA binding//transcription factor activity,primary,
709,ORF,primary,
710,zinc ion binding//nucleic acid binding,primary,
711,ORF,primary,
712,ORF,primary,
713,trypsin activity,primary,823
714,dUTP diphosphatase activity,primary,1294
715,unfolded protein binding//heat shock protein binding,primary,
716,4-nitrophenylphosphatase activity,primary,928
717,ORF,primary,
718,transporter activity,primary,1384
719,ORF,primary,
720,ORF,primary,
721,ORF,primary,
722,serine-type Pro-X carboxypeptidase activity,primary,799
723,ORF,primary,
724,ATP binding//transcription factor activity,primary,
725,sepiapterin reductase activity,primary,954
726,sulfotransferase activity,primary,819
727,ORF,primary,
728,ORF,primary,
729,zinc ion binding//nucleic acid binding,primary,
730,ORF,primary,
731,ORF,primary,
732,protein kinase A binding,primary,1451
733,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
734,ORF,primary,
735,protein binding,primary,
736,ORF,primary,
737,ORF,primary,
738,serine-type endopeptidase activity,primary,
739,ORF,primary,
740,FH1 domain binding//zinc ion binding//nucleic acid binding,primary,
741,acylphosphatase activity,primary,480
742,protein binding,primary,
743,guanyl-nucleotide exchange factor activity//G-protein alpha-subunit binding,primary,
744,ORF,primary,
745,peroxidase activity,primary,505
746,ORF,primary,
747,serine-type endopeptidase inhibitor activity,primary,
748,ORF,primary,
749,NADH dehydrogenase (ubiquinone) activity,primary,1214
750,glycine N-methyltransferase activity,primary,1230
751,DNA binding//zinc ion binding,primary,
752,odorant binding,primary,
753,GTPase activity,primary,1171
754,ORF,primary,
755,nucleotide binding//nucleic acid binding,primary,
756,calcium-dependent protein serine/threonine phosphatase regulator activity,primary,1547
757,mRNA 3'-UTR binding//nucleotide binding//mRNA binding//RNA binding,primary,
758,phosphomevalonate kinase activity,primary,1054
759,unfolded protein binding//ATP binding,primary,
760,ORF,primary,
761,diacylglycerol kinase activity,primary,1003
762,ubiquitin thiolesterase activity,primary,1532
