1	glutamate and glutamine biosynthesis	PWY-5505	9
2	Inferred computationally without human oversight	LIPASYN-PWY	9
3	superpathway of aspartate and asparagine biosynthesis; interconversion of aspartate and asparagine	ASPASN-PWY	9
4	tRNA charging pathway	TRNA-CHARGING-PWY	9
5	superpathway of glyoxylate cycle	PWY-561	9
6	pantothenate and coenzyme A biosynthesis I	PANTOSYN-PWY	9
7	gluconeogenesis II (Methanobacterium thermoautotrophicum)	PWY-6142	9
8	colanic acid building blocks biosynthesis	COLANSYN-PWY	9
9	phospholipid biosynthesis II	PHOSLIPSYN2-PWY	9
10	&gamma;-glutamyl cycle	PWY-4041	9
11	superpathway of heme biosynthesis from uroporphyrinogen-III	PWY0-1415	9
12	superpathway of serine and glycine biosynthesis I	SER-GLYSYN-PWY	9
13	glycerol degradation I	PWY0-381	9
14	purine deoxyribonucleosides degradation	PWY0-1297	9
15	cysteine biosynthesis III (mammalia)	PWY-6292	9
16	pyruvate fermentation to acetate VI	PWY-5538	9
17	superpathway of polyamine biosynthesis II	POLYAMINSYN3-PWY	9
18	degradation of pyrimidine deoxyribonucleosides	PWY0-1298	9
19	superpathway of ornithine degradation	ORNDEG-PWY	9
20	pyrimidine ribonucleotides de novo biosynthesis	PWY0-162	9
21	tryptophan degradation III (eukaryotic)	TRYPTOPHAN-DEGRADATION-1	9
22	de novo biosynthesis of pyrimidine deoxyribonucleotides	PWY0-166	9
23	homolactic fermentation	ANAEROFRUCAT-PWY	9
24	peptidoglycan biosynthesis III	PEPTIDOGLYCANSYN-PWY	9
25	arginine biosynthesis I	ARGSYN-PWY	9
26	superpathway of histidine, purine, and pyrimidine biosynthesis	PRPP-PWY	9
27	superpathway of alanine biosynthesis	PWY0-1061	9
28	phosphatidylglycerol biosynthesis II	PWY4FS-8	9
29	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	PWY-5910	9
30	heme biosynthesis II	PWY-5920	9
31	glutamate degradation VII (to butyrate)	GLUDEG-II-PWY	9
32	superpathway of fatty acid biosynthesis initiation (E. coli)	FASYN-INITIAL-PWY	9
33	geranylgeranyldiphosphate biosynthesis II (plastidic)	PWY-5121	9
34	superpathway of glutamate biosynthesis	AMMASSIM-PWY	9
35	phosphatidylglycerol biosynthesis I (plastid)	PWY4FS-7	9
36	superpathway of polyamine biosynthesis I	POLYAMSYN-PWY	9
37	pyruvate fermentation to acetate V	PWY-5537	9
38	glycogen degradation II	PWY-5767	9
39	pentose phosphate pathway	PENTOSE-P-PWY	9
40	Methanobacterium thermoautotrophicum biosynthetic metabolism	PWY-6146	9
41	NAD salvage pathway II	NAD-BIOSYNTHESIS-II	9
42	superpathway of parathion degradation	PARATHION-CATABOLISM-PWY	9
43	superpathway of N-acetylneuraminate degradation	P441-PWY	9
44	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	PWY-6277	9
45	superpathway of arginine and polyamine biosynthesis	ARG+POLYAMINE-SYN	9
46	superpathway of glycolysis and Entner-Doudoroff	GLYCOLYSIS-E-D	9
47	4-aminobutyrate degradation I	4AMINOBUTMETAB-PWY	9
48	glutamate degradation IX (via 4-aminobutyrate)	PWY3O-210	9
49	&gamma;-butyrobetaine degradation	PWY-3621	9
50	purine nucleotides de novo biosynthesis II	PWY-841	9
51	tetrahydrofolate biosynthesis	FOLSYN-PWY	9
52	tryptophan degradation XI (mammalian, via kynurenine)	PWY-6309	9
53	copper transport II	PWY-6137	9
54	calcium transport I	PWY-6166	9
55	PRPP biosynthesis I	PWY0-662	9
56	sulfate activation for sulfonation	PWY-5340	9
57	thiosulfate disproportionation III (rhodanese)	PWY-5350	9
58	sulfite oxidation IV	PWY-5326	9
59	wound-induced proteolysis I	PWY-5988	9
60	urate biosynthesis	PWY-5695	9
61	degradation of purine ribonucleosides	PWY0-1296	9
62	salvage pathways of adenine, hypoxanthine, and their nucleosides	SALVADEHYPOX-PWY	9
63	degradation of pyrimidine ribonucleosides	PWY0-1295	9
64	&beta;-alanine biosynthesis III	PWY-3982	9
65	glycogen degradation II	PWY-5941	9
66	glycogen degradation I	GLYCOCAT-PWY	9
67	methyl parathion degradation	PWY-5489	9
68	paraoxon degradation	PWY-5490	9
