1,SECOLOGANIN-CPD,secologanin
2,CPD-237,indole-3-acetamide
3,CPD-8999,"5-(methylthio)-2,3-dioxopentyl phosphate"
4,CPD-6646,dalbergioidin
5,NN-DIMETHYLANILINE,"N,N-dimethylaniline"
6,CPD-9803,2-hydroxycaffeate
7,PALMITALDEHYDE,palmitaldehyde
8,CPD-224,dolichyl diphosphate
9,L-DOPACHROME,L-dopachrome
10,CPD-6981,rosmarinic acid
11,2-AMINO-MUCONATE,2-amino-muconate
12,D-6-P-GLUCONO-DELTA-LACTONE,D-glucono-&delta;-lactone-6-phosphate
13,CARBON-MONOXIDE,CO
14,CPD54L-58,inorganic diphosphate
15,CPD-3630,(-)-sophorol
16,KYNURENATE,kynurenate
17,CPD-6972,o-succinylbenzoyl-CoA
18,CPD-9800,"2,4-dihydroxycinnamate"
19,1-AMINO-PROPAN-2-ONE-3-PHOSPHATE,1-amino-propan-2-one-3-phosphate
20,CPD-412,4-coumaroylshikimate
21,5-UREIDO-4-IMIDAZOLE_CARBOXYLATE,4-ureido-5-imidazole carboxylate
22,CPD-7635,methanofuran biosynththesis intermediate MF2
23,N-5-PHOSPHORIBOSYL-ANTHRANILATE,N-(5'-phosphoribosyl)-anthranilate
24,4-TRIMETHYLAMMONIOBUTANAL,4-trimethylammoniobutanal
25,2-DEHYDRO-3-DEOXY-D-GLUCONATE,2-dehydro-3-deoxy-D-gluconate
26,CPD-6645,"2,3-dehydrokievitone"
27,CPD-2743,nicotine-1'-N-oxide
28,CPD-575,cyclohexane-1-carboxylate
29,CPD-7645,p-(&beta;-aminoethyl)phenoxy-methyl-2-(aminomethyl)furan
30,INDOLE-3-GLYCOLATE,indole-3-glycolate
31,ACETYL-ETCETERA-L-ASPARAGINE,N4-(&beta;-N-acetyl-D-glucosaminyl)-L-asparagine
32,3-HYDROXYPIMELYL-COA,3-hydroxypimelyl-CoA
33,TARTRONATE-S-ALD,tartronate semialdehyde
34,4-PRENYLPHLORISOBUTYROPHENONE,4-prenylphlorisobutyrophenone
35,CPD-6643,phaseoluteone
36,HYDROGEN-PEROXIDE,H2O2
37,34-DIHYDROXYPHENYLACETALDEHYDE,"3,4-dihydroxyphenylacetaldehyde"
38,PANTOTHENATE,pantothenate
39,HISTIDINAL,histidinal
40,23-EPOXY-23-DIHYDRO-2-METHYL-14-NAPHTHOQ,"vitamin K 2,3-epoxide"
41,S-ADENOSYLMETHIONINAMINE,S-adenosyl-L-methioninamine
42,CPD-60,4-imidazolone
43,5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE,5'-phosphoribosyl-N-formylglycineamide
44,PYRROLINE-HYDROXY-CARBOXYLATE,pyrroline-hydroxy-carboxylate
45,BISOHMYR-GLC,lipid A disaccharide
46,L-OCTANOYLCARNITINE,L-octanoylcarnitine
47,CPD-122,(S)-mandelate
48,CPD-6962,"2,6-dihydroxynicotinate"
49,34-DIHYDROXYPHENYLPYRUVATE,"3,4-dihydroxyphenylpyruvate"
50,44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET,"4,4-dimethyl-5&alpha;-cholest-7-en-3&beta;-ol"
51,CPD0-1081,"GlcNAc-1,6-anhMurNAc"
52,CPD-10137,CDP-N-methyl-L-glucosamine
53,CPD-8600,N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->4)-N-acetyl-&alpha;-D-glucosaminylproteoglycan
54,CPD-8974,dimethylthiophosphate
55,PANTETHEINE-P,4'-phosphopantetheine
56,CPD-15579,Inferred by computational analysis
57,CPD-7649,dopamine 3-O-sulfate
58,L-GULONO-1-4-LACTONE,"L-gulono-1,4-lactone"
59,CPD-368,"L-arabinono-1,4-lactone"
60,CPD-7682,"(S)-2,3,4,5-tetrahydropiperidine-2-carboxylate"
61,DTDP-L-DIHYDROSTREPTOSE,dTDP-L-dihydrostreptose
62,N4-N-ACETYL-BETA-D-GLUCOSAMINYL-12,"N4-{N-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,3)-[N-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1,4)-N-acetyl-&beta;-D-glucosaminyl-(1,4)-N-acetyl-&beta;-D-glucosaminyl}asparagine"
63,PORPHOBILINOGEN,porphobilinogen
64,CPD-6082,3-aminopropionaldehyde
65,CPD-292,2-trans-Hexadecenal
66,3-CARBOXY-3-HYDROXY-ISOCAPROATE,(2S)-2-isopropylmalate
67,CPD-69,cyanate
68,CPD-313,"1,3-diaminopropane"
69,DEHYDROQUINATE,3-dehydroquinate
70,R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE,R-4'-phosphopantothenoyl-L-cysteine
71,1-KETO-2-METHYLVALERATE,"2,3-dihydroxy-3-methylvalerate"
72,CPD-609,"P1,P4-bis(5'-guanosyl) tetraphosphate"
73,SINAPALDEHYDE,sinapaldehyde
74,CPD-459,trans-&beta;-D-Glucosyl-2-hydroxycinnamate
75,CPD0-1063,2-O-(6-phospho-&alpha;-mannosyl)-D-glycerate
76,N4-N-ACETYL-BETA-D-GLUCOSAMINYL-F,"N(4)-{N-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,3)-[N-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1,4)-N-acetyl-&beta;-D-glucosaminyl-(1,4)-[&alpha;-L-fucosyl-(1,3)]-N-acetyl-&beta;-D-glucosaminyl}asparagine"
77,CPD-10591,"3&alpha;,7&alpha;-dihydroxy-24-oxo-5&beta;-cholestanoyl CoA"
78,CPD-296,dihydrolipoate
79,CPD-406,N-methylethanolamine phosphate
80,KDO-8P,3-deoxy-D-manno-octulosonate 8-P
81,CPD-7737,"2-carboxy-5-oxo-2,5-dihydrofuran-2-acetate"
82,CPD-6721,lupiwighteone
83,CPD-329,L-xylo-hexulonolactone
84,PANTOYL-LACTONE,(R)-pantolactone
85,CPD-9135,2-hydroxy-5-methylquinone
86,TRIMETHYLAMINE,trimethylamine
87,CPD-511,pantetheine
88,2-CH2-GLUTARATE,2-methyleneglutarate
89,CPD-9738,"2-oxo-3-carboxy-4,5-cyclopropylhex-5-enoate"
90,CPD-10809,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate"
91,CPD-2744,nicotine-Glucuronide
92,AMMONIA,ammonia
93,CPD-9312,ethane
94,ACETYLSERINE,O-acetyl-L-serine
95,2CH2-3CH3-SUCC,(R)-3-methylitaconate
96,SN-GERANYLGERANYLGLYCERYL-1-PHOSPHATE,sn-3-O-(geranylgeranyl)glyceryl 1-phosphate
97,3-5-ADP,"adenosine 3',5'-bisphosphate"
98,OXALO-SUCCINATE,oxalosuccinate
99,CPD-8543,L-glutaminyl-peptide
100,CPD-9437,(S)-2-formylglutarate
101,METHYL-EPOXYTRIDECADIENOATE,"methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate"
102,CPD-8563,myosin light-chain phosphate
103,CPD-159,(S)-5-amino-3-oxohexanoate
104,1235-TETRAHYDROXYBENZENE,"1,2,3,5-tetrahydroxybenzene"
105,2-HEXAPRENYL-3-METHYL-5-HYDROXY-6-METHOX,"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
106,S-NORCOCLAURINE,(S)-norcoclaurine
107,CPD-469,N-acetyl-L-glutamate 5-semialdehyde
108,CPD-7066,&beta;-methyl-D-malate
109,2-KETO-3-DEOXY-6-P-GLUCONATE,2-dehydro-3-deoxy-D-gluconate-6-phosphate
110,CPD-299,2-amino-4-oxopentanoate
111,DIMETHYLARSINOUS-ACID,dimethylarsinous acid
112,MALEAMATE,maleamate
113,CPD-10818,isopentenyl phosphate
114,CPD-8593,"1,4-&beta;-D-galactosyl-N-acetyl-D-glucosaminyl-R"
