1	STRICTOSIDINE-SYNTHASE-RXN	secologanin
2	RXNN-404	indole-3-acetamide
3	R82-RXN|3.1.3.77-RXN	5-(methylthio)-2,3-dioxopentyl phosphate
4	RXN-7224|RXN-7225	dalbergioidin
5	1.14.13.8-RXN	N,N-dimethylaniline
6	RXN-9268	2-hydroxycaffeate
7	2-HEXADECENAL-REDUCTASE-RXN	palmitaldehyde
8		dolichyl diphosphate
9	DOPACHROME-DELTA-ISOMERASE-RXN	L-dopachrome
10		rosmarinic acid
11	2-AMINOMUCONATE-REDUCTASE-RXN	2-amino-muconate
12	6PGLUCONOLACT-RXN	D-glucono-&delta;-lactone-6-phosphate
13	ACETYLSYNCLTH-RXN|1.2.7.4-RXN|1.2.2.4-RXN	CO
14		inorganic diphosphate
15	RXN-3766|RXN-3768	(-)-sophorol
16		kynurenate
17	NAPHTHOATE-SYN-RXN	o-succinylbenzoyl-CoA
18	RXN-9261	2,4-dihydroxycinnamate
19	PDXJ-RXN	1-amino-propan-2-one-3-phosphate
20	RXN-2581	4-coumaroylshikimate
21	R128-RXN	4-ureido-5-imidazole carboxylate
22	RXN-8110	methanofuran biosynththesis intermediate MF2
23	PRAISOM-RXN|PRTRANS-RXN	N-(5'-phosphoribosyl)-anthranilate
24	1.2.1.47-RXN	4-trimethylammoniobutanal
25	DHDOGALDOL-RXN|DEOXYGLUCONOKIN-RXN	2-dehydro-3-deoxy-D-gluconate
26	RXN-7227	2,3-dehydrokievitone
27		nicotine-1'-N-oxide
28	R281-RXN	cyclohexane-1-carboxylate
29	RXN-8121	p-(&beta;-aminoethyl)phenoxy-methyl-2-(aminomethyl)furan
30	RXN-5441	indole-3-glycolate
31	3.5.1.26-RXN	N4-(&beta;-N-acetyl-D-glucosaminyl)-L-asparagine
32	1.1.1.259-RXN	3-hydroxypimelyl-CoA
33		tartronate semialdehyde
34	RXN-7813	4-prenylphlorisobutyrophenone
35		phaseoluteone
36	RXN-8243|RXN-3521|RXN0-267|GLUTATHIONE-PEROXIDASE-RXN|CATAL-RXN|RXN66-1|PEROXID-RXN|RXN-8635	H2O2
37	RXN-9980|RXN6666-5	3,4-dihydroxyphenylacetaldehyde
38	PANTOTHENATE-KIN-RXN	pantothenate
39	HISTALDEHYD-RXN	histidinal
40		vitamin K 2,3-epoxide
41	RXN0-5217|SPERMIDINESYN-RXN|SPERMINE-SYNTHASE-RXN	S-adenosyl-L-methioninamine
42	R63-RXN	4-imidazolone
43	FGAMSYN-RXN	5'-phosphoribosyl-N-formylglycineamide
44	HYDROXYPYRROLINEDEH-RXN	pyrroline-hydroxy-carboxylate
45	TETRAACYLDISACC4KIN-RXN	lipid A disaccharide
46		L-octanoylcarnitine
47	MANDELATE-RACEMASE-RXN|MANDELATE-DEHYDROGENASE-RXN	(S)-mandelate
48	RXN-7586	2,6-dihydroxynicotinate
49	RXN-9979|RXN-7632	3,4-dihydroxyphenylpyruvate
50	1.14.13.72-RXN	4,4-dimethyl-5&alpha;-cholest-7-en-3&beta;-ol
51	RXN0-5226	GlcNAc-1,6-anhMurNAc
52	RXN-9470	CDP-N-methyl-L-glucosamine
53		N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->4)-N-acetyl-&alpha;-D-glucosaminylproteoglycan
54		dimethylthiophosphate
55	PANTEPADENYLYLTRAN-RXN	4'-phosphopantetheine
56		Inferred by computational analysis
57		dopamine 3-O-sulfate
58	L-GULONOLACTONE-OXIDASE-RXN	L-gulono-1,4-lactone
59	L-ARABINONOLACTONASE-RXN	L-arabinono-1,4-lactone
60	RXN-8173|RXN-8162	(S)-2,3,4,5-tetrahydropiperidine-2-carboxylate
61	2.4.2.27-RXN	dTDP-L-dihydrostreptose
62	2.4.2.38-RXN|2.4.1.68-RXN|2.4.1.214-RXN	N4-{N-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,3)-[N-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1,4)-N-acetyl-&beta;-D-glucosaminyl-(1,4)-N-acetyl-&beta;-D-glucosaminyl}asparagine
63	OHMETHYLBILANESYN-RXN	porphobilinogen
