reactionid	compid
1	916
1	133
2	926
2	948
2	1320
2	1059
3	3920
3	525
4	926
4	465
5	806
5	839
6	828
6	1310
7	340
7	1676
8	1192
8	1676
9	1484
9	1676
10	3838
10	826
10	1676
11	926
11	1059
11	1320
11	364
12	522
12	832
12	1676
13	522
13	3778
13	984
14	914
14	1506
14	1676
15	1993
15	1113
16	1320
16	522
17	856
18	1506
19	804
19	926
20	1275
20	3761
20	1059
21	1310
21	1320
22	889
22	167
23	3935
23	2308
24	1499
25	1712
25	522
26	926
26	614
26	1059
26	1320
27	1681
27	522
28	567
28	636
29	3920
29	2309
30	3253
30	1014
31	860
31	839
32	1372
34	1555
35	1321
35	3770
35	926
36	1394
36	1320
36	926
37	777
37	1059
37	1320
37	926
38	737
38	839
39	2232
39	3253
39	678
40	1387
40	522
41	484
41	522
41	1059
42	88
43	1382
43	839
44	553
45	3604
45	522
46	567
46	3757
46	522
47	1647
47	1189
48	1672
48	522
50	866
50	1309
50	522
51	499
51	3757
51	522
52	802
52	522
53	216
53	1388
53	522
55	826
55	1309
56	120
57	2764
57	839
58	617
58	1507
58	1059
59	1648
59	1321
60	688
60	522
61	4820
61	3757
62	1806
62	1310
62	1642
62	1036
62	522
63	326
64	3253
64	777
65	37
65	1310
65	522
66	522
66	1310
66	866
67	926
67	312
68	2233
69	522
69	1506
69	1676
70	3253
70	586
71	360
71	522
72	1704
72	1676
73	2566
73	1059
73	926
74	1715
74	522
75	926
75	450
75	1710
76	1310
76	1232
77	1507
77	522
77	1388
78	926
78	488
79	1059
79	1507
79	880
80	1192
81	805
81	522
82	988
83	1666
83	1676
84	617
84	1059
84	3779
85	429
85	3757
86	25
86	1676
87	493
88	1305
88	3757
89	1118
89	62
90	835
90	522
91	825
91	3757
92	1722
92	522
93	1531
94	342
94	1219
94	522
95	1291
95	3757
96	1309
96	1642
96	416
97	1405
97	522
98	918
98	522
98	1676
99	3927
99	3920
99	1388
100	785
101	282
101	1320
101	926
101	1059
102	379
102	1310
102	522
103	914
103	216
105	1499
105	1676
106	926
106	1321
106	1645
107	3408
107	1676
108	199
109	984
109	41
110	522
110	1310
110	826
111	3757
111	1009
112	1269
112	1059
112	3761
113	1215
114	259
114	522
115	2921
116	274
116	528
117	926
117	818
117	522
118	1103
118	522
119	1184
120	3920
120	1263
121	926
121	498
121	1059
122	1199
123	1676
123	43
123	832
123	522
124	68
124	522
124	1059
125	181
125	926
126	926
126	81
127	192
127	342
128	2239
128	1136
129	926
129	775
129	1320
129	1059
130	1710
130	2329
131	1648
131	1059
131	522
132	522
132	1716
133	722
133	1310
133	522
134	2545
134	1388
135	1310
135	1554
136	126
137	926
137	582
137	1320
137	1059
138	138
139	6
140	522
140	1713
141	1058
141	3778
141	522
142	374
142	1321
142	926
143	1206
144	1334
144	1676
145	533
145	1310
145	522
146	139
146	478
147	2870
147	1507
147	1059
148	926
148	1005
149	274
149	1642
149	522
149	1310
150	1229
150	1309
151	3935
151	1394
152	1212
152	1310
153	60
153	1310
153	522
154	3241
154	522
155	926
155	864
155	1321
156	847
156	92
157	1112
157	522
158	926
158	1140
159	852
159	1507
160	522
160	1747
161	1473
161	1310
162	2566
162	1059
162	926
163	274
163	1320
163	926
164	594
164	839
165	1219
165	1676
166	780
166	1059
166	1507
167	1251
168	763
168	839
169	902
169	911
170	942
171	505
172	921
172	522
172	1676
173	1424
173	1394
173	3761
173	926
174	889
174	522
175	2962
175	522
176	835
176	1466
177	847
177	1405
178	853
178	1507
179	1672
179	916
180	714
180	714
180	1642
180	1676
181	632
181	1320
181	1059
182	1059
182	522
182	836
183	1642
183	571
183	1676
184	3343
184	401
185	392
185	522
186	162
186	1310
187	3727
187	2330
188	216
188	1676
189	605
189	1320
189	926
189	1059
190	1498
190	1676
191	1191
192	1855
192	829
193	358
194	1193
194	1676
195	926
195	578
195	1320
195	1059
196	203
197	839
197	432
198	467
198	1642
198	1676
199	903
199	1324
200	530
200	52
202	181
202	522
203	47
204	38
204	1676
205	168
205	522
206	3284
206	460
206	1117
207	544
208	303
208	522
209	522
209	859
210	926
210	15
210	1320
211	322
211	1405
212	926
212	968
212	1059
213	722
213	1059
213	522
214	728
215	522
215	976
216	474
216	1145
217	4275
217	1310
217	522
218	1721
218	1676
219	983
219	983
219	41
220	1071
221	561
222	1954
222	1857
223	522
223	1053
224	2232
224	522
224	678
225	1310
225	1542
226	926
226	3770
226	1321
227	1714
227	914
228	255
228	1642
229	1123
229	3604
230	1661
230	1309
230	522
232	764
232	3801
233	1346
233	826
233	1676
234	926
234	575
234	1059
235	1180
236	179
236	1107
237	1670
237	914
238	1520
238	1320
238	1059
239	461
239	78
241	335
241	522
242	2047
242	1059
243	527
243	3757
244	502
245	385
245	1388
245	522
246	299
246	522
246	1676
247	1092
248	1309
248	7
249	2237
249	391
250	1366
250	522
251	336
252	1537
252	1310
253	926
253	1209
253	1320
254	1917
254	478
255	926
255	1004
255	1320
255	1059
256	1533
256	1388
256	522
257	1207
257	3770
258	1550
258	832
259	1279
259	3761
259	1059
260	2063
260	1136
261	1718
261	835
261	1676
262	1542
262	1421
263	1485
263	1676
264	2438
264	1117
265	829
265	1388
266	1242
266	522
267	1398
268	4264
268	824
268	1059
269	3694
269	1237
270	1730
271	1310
271	1543
272	1388
272	522
272	1508
273	853
274	1486
274	1676
275	1192
276	926
276	556
276	1321
276	1059
277	1714
277	1676
278	1207
278	1676
279	433
279	522
281	1508
281	833
282	2454
282	522
283	64
283	3757
283	522
284	289
284	522
284	1059
285	356
285	833
286	1642
286	693
286	1676
287	1742
288	4840
289	2330
289	522
290	1520
290	1642
290	1676
291	926
291	1283
291	1320
292	1380
292	1642
293	1239
293	914
294	1059
294	58
295	1310
295	1233
296	1369
296	926
297	277
298	12
298	522
299	1719
299	1676
300	3263
300	1309
301	1690
301	522
302	926
302	230
302	1320
303	926
303	21
303	522
304	537
304	839
305	1415
306	1175
306	522
307	616
307	1507
307	1059
308	2232
308	2220
308	2330
309	1207
309	1665
310	1136
311	4394
311	522
313	522
313	1310
313	407
314	1738
315	483
315	1144
316	1855
316	2327
317	417
318	799
318	839
319	3345
320	830
320	1507
321	1310
321	3956
322	822
322	1059
323	1433
323	522
323	1388
324	1457
324	522
325	896
325	1059
325	522
326	1307
326	1406
328	809
328	178
329	1739
330	945
331	522
331	3278
332	721
332	1548
333	325
334	3702
334	1113
335	3329
335	1178
336	109
337	209
338	926
338	995
338	1059
338	1320
339	873
340	597
340	1309
341	1358
341	839
342	83
343	838
343	1388
344	224
344	1423
345	1470
345	1059
345	1320
345	926
346	1139
346	3761
346	926
347	767
347	3801
348	839
348	2893
349	1678
349	914
350	753
350	1642
350	1676
351	3932
351	1320
352	3920
352	2469
353	1673
353	1676
354	1388
354	1394
354	1320
354	926
355	1502
356	1663
356	522
357	657
357	522
358	1739
359	1662
360	462
361	2522
361	522
362	926
362	873
362	1507
363	1310
363	1540
364	1270
364	1059
364	1320
365	333
366	176
366	926
367	3581
367	914
368	926
368	18
369	612
369	1059
369	1507
370	1309
370	1130
371	45
371	1676
372	943
373	1400
373	838
374	926
374	1000
374	1059
374	1320
375	579
376	1486
376	522
377	3343
377	1676
378	630
378	1507
378	1059
379	821
379	1507
380	756
381	1682
381	1676
382	1640
382	274
383	522
383	1707
385	922
385	926
385	522
385	1676
386	702
386	938
387	140
387	1
388	1333
388	1710
389	2790
389	835
390	926
390	513
390	1320
390	1059
391	1552
391	2571
392	926
392	1059
392	1320
392	286
393	1855
393	1474
394	926
394	906
395	926
395	1096
395	1059
396	1663
396	522
397	824
398	407
398	1309
398	522
399	1223
400	1127
400	1177
401	3343
401	1189
403	3253
404	839
404	2897
405	1174
405	1676
406	3838
406	1665
406	914
407	170
408	1535
408	522
409	822
410	926
410	1003
410	1059
411	1547
411	1309
412	854
412	1074
413	838
413	1405
414	926
414	17
415	926
415	1039
415	1059
416	558
417	548
417	1642
418	1442
418	1309
419	1367
419	3778
420	2464
420	522
421	830
421	1059
422	972
422	4302
423	141
423	1309
423	522
424	3778
424	3746
425	199
425	1346
426	1185
427	515
427	811
428	1360
428	1422
429	926
429	1331
429	1194
430	1311
430	522
430	235
431	959
431	1507
431	1059
432	1727
432	1676
433	694
433	1059
434	595
434	567
435	838
435	1346
435	1310
436	48
436	1059
436	522
437	145
438	3425
438	1676
439	1191
440	3581
440	1206
441	1554
441	1642
441	1676
442	1443
442	1059
442	1320
442	926
443	522
443	1693
445	853
446	1310
446	522
446	486
447	1285
447	1320
447	1059
448	894
448	1058
449	1385
449	522
450	1064
451	1814
451	303
452	294
452	3761
453	826
453	1676
453	1320
454	3076
454	974
454	522
454	1059
455	1717
455	1663
456	1276
456	3761
456	1059
457	926
457	1510
458	699
458	522
458	1310
459	357
459	839
460	522
460	1310
462	1493
462	1676
463	1666
463	522
464	140
464	522
464	1059
465	1445
465	1320
465	926
465	1059
466	1059
466	232
467	1549
467	3757
467	522
468	1161
468	1676
469	293
469	522
470	1471
470	1310
471	926
471	1422
471	1394
472	3935
472	972
473	1309
473	1116
474	470
474	1310
475	1310
475	1010
476	1160
477	3253
477	1179
478	3617
478	522
479	3619
479	522
480	1310
480	1969
481	3253
481	516
482	522
482	1243
483	522
483	1676
484	1419
484	3779
484	1059
485	1229
485	522
486	1488
486	1676
487	817
487	1507
488	175
488	522
489	1372
490	1264
491	1405
491	543
492	826
492	1676
493	3284
493	460
493	1113
494	522
494	1388
495	1387
496	926
496	263
497	1397
498	1309
498	1346
499	393
499	1710
500	3920
500	522
501	1420
501	3778
502	3263
502	62
503	995
503	1320
504	1643
504	471
505	1130
506	926
506	824
506	1059
507	813
509	1114
509	836
509	1676
510	395
511	766
511	302
512	350
512	522
513	1807
514	981
514	1059
514	522
515	1098
516	776
516	522
517	1676
517	1487
518	3581
519	3956
520	463
520	1310
520	1642
521	446
521	1131
522	766
522	522
523	473
523	522
524	116
524	522
525	1193
526	113
526	1676
527	625
527	1507
527	1059
528	3604
528	522
529	2232
529	2220
529	1688
530	926
530	992
530	1059
531	1235
531	1310
532	926
532	1098
532	1320
533	1676
533	157
533	1642
534	2328
536	917
536	522
536	1676
537	1507
537	884
538	900
