NICOTINATEPRIBOSYLTRANS-RXN,EC-2.4.2.11,FBGN0031589-MONOMER
RXN66-146,EC-1.14.14.1,
2.3.1.42-RXN,EC-2.3.1.42,FBGN0040212-MONOMER
4.1.1.74-RXN,EC-4.1.1.74,
ACETYLSEROTONIN-O-METHYLTRANSFERASE-RXN,EC-2.1.1.4,
THREODEHYD-RXN,EC-1.1.1.103,
ETHANOLAMINE-KINASE-RXN,EC-2.7.1.82,FBGN0000536-MONOMER|FBGN0032955-MONOMER
PHOSPHORIBULOKINASE-RXN,EC-2.7.1.19,
2.7.1.140-RXN,EC-2.7.1.140,FBGN0031267-MONOMER
FORMYLTHFGLUSYNTH-RXN,EC-6.3.2.17,FBGN0030407-MONOMER|FBGN0051773-MONOMER
1.14.13.74-RXN,EC-1.14.13.74,
GMP-SYN-GLUT-RXN,EC-6.3.5.2,FBGN0000239-MONOMER
SPERMIDINE-DEHYDROGENASE-RXN,EC-1.5.99.6,FBGN0028417-MONOMER
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,EC-2.7.9.1,
2.4.1.45-RXN,EC-2.4.1.45,FBGN0039085-MONOMER|FBGN0039086-MONOMER|FBGN0039087-MONOMER|FBGN0040257-MONOMER|FBGN0027070-MONOMER
RXN-7703,EC-3.1.3,
ORNMUTST-RXN,EC-5.4.3.5,
RXN-6161,EC-4.1.1.1,
PARATHION-NITRO-REDUCT-RXN,none,
RXN66-315,EC-1.14.13.72,FBGN0030485-MONOMER|FBGN0030509-MONOMER
1.6.1.2-RXN,EC-1.6.1.2,
2.1.3.9-RXN,EC-2.1.3.9,
RXN-1623,EC-2.3.1.51,FBGN0038659-MONOMER|FBGN0023196-MONOMER|FBGN0030421-MONOMER|FBGN0031132-MONOMER|FBGN0036622-MONOMER|FBGN0036623-MONOMER|FBGN0034971-MONOMER|FBGN0026718-MONOMER
RXN3O-504,none,
NMNAMIDOHYDRO-RXN,EC-3.5.1.42,
RXN-7621,EC-1.14.11,
RXN0-902,none,
FARNESYLTRANSTRANSFERASE-RXN,EC-2.5.1.29,FBGN0019662-MONOMER
2.3.1.23-RXN,EC-2.3.1.23,FBGN0052699-MONOMER
RXN-4722,EC-2.4.1,FBGN0011591-MONOMER|FBGN0026315-MONOMER|FBGN0027074-MONOMER
RXN-6461,EC-2.1.1.49,FBGN0031522-MONOMER
METHYLGLUTACONYL-COA-HYDRATASE-RXN,EC-4.2.1.18,
3.4.24.14-RXN,EC-3.4.24.14,FBGN0051619-MONOMER
GLUCARDEHYDRA-RXN,EC-4.2.1.40,
NADH-DEHYDROG-A-RXN,EC-1.6.5.3,FBGN0039909-MONOMER|FBGN0017566-MONOMER|FBGN0025839-MONOMER|FBGN0029888-MONOMER|FBGN0030605-MONOMER|FBGN0030718-MONOMER|FBGN0030853-MONOMER|FBGN0031021-MONOMER|FBGN0017567-MONOMER|FBGN0019957-MONOMER|FBGN0039331-MONOMER|FBGN0039669-MONOMER|FBGN0011455-MONOMER|FBGN0035404-MONOMER|FBGN0036706-MONOMER|FBGN0037001-MONOMER|FBGN0037172-MONOMER|FBGN0047038-MONOMER|FBGN0013679-MONOMER|FBGN0013680-MONOMER|FBGN0013681-MONOMER|FBGN0013682-MONOMER|FBGN0013683-MONOMER|FBGN0013684-MONOMER|FBGN0013685-MONOMER|FBGN0033570-MONOMER|FBGN0034007-MONOMER|FBGN0034251-MONOMER|FBGN0034645-MONOMER|FBGN0035046-MONOMER|FBGN0021967-MONOMER|FBGN0031436-MONOMER|FBGN0031505-MONOMER|FBGN0031684-MONOMER|FBGN0032511-MONOMER
RXN-8963,EC-1.2.1,
RXN-3762,EC-1.14.13.52,
2.1.1.64-RXN,EC-2.1.1.64,
CERAMIDE-GLUCOSYLTRANSFERASE-RXN,EC-2.4.1.80,FBGN0067102-MONOMER
RXN0-5393,none,
AMACETOXID-RXN,EC-1.4.3.21,
2-METHYLENEGLUTARATE-MUTASE-RXN,EC-5.4.99.4,
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN,EC-2.1.1.104,
RXN-8112,none,
MALTODEXGLUCOSID-RXN,EC-3.2.1.20,FBGN0022717-MONOMER|FBGN0022719-MONOMER|FBGN0022718-MONOMER|FBGN0022707-MONOMER|FBGN0027588-MONOMER|FBGN0053080-MONOMER|FBGN0038619-MONOMER|FBGN0039330-MONOMER|FBGN0002569-MONOMER|FBGN0002570-MONOMER|FBGN0002571-MONOMER|FBGN0033294-MONOMER|FBGN0033296-MONOMER|FBGN0033297-MONOMER|FBGN0032381-MONOMER|FBGN0032382-MONOMER|FBGN0032643-MONOMER
ISPH2-RXN,EC-1.17.1.2,
FORMALDEHYDE-TRANSKETOLASE-RXN,EC-2.2.1.3,
HISTPRATPHYD-RXN,EC-3.6.1.31,
3.4.21.75-RXN,EC-3.4.21.75,FBGN0004598-MONOMER|FBGN0004509-MONOMER|FBGN0037747-MONOMER
RXN3O-127,EC-1.5.1.10,
1.2.1.31-RXN,EC-1.2.1.31,
RXN-8743,EC-3.1.8.1,FBGN0037683-MONOMER
CITSYN-RXN,EC-2.3.3.1,FBGN0023394-MONOMER|FBGN0086133-MONOMER|FBGN0037988-MONOMER
3.4.14.4-RXN,EC-3.4.14.4,FBGN0037580-MONOMER|FBGN0036975-MONOMER
GLUTAMATESYN-RXN,EC-1.4.1.13,FBGN0001142-MONOMER|FBGN0036663-MONOMER
RXN-22,EC-4.3.2.1,FBGN0032076-MONOMER
2.1.1.100-RXN,EC-2.1.1.100,FBGN0036336-MONOMER
RXN1F-165,EC-1.14.11,
ALCOHOL-DEHYDROG-RXN,EC-1.1.1.1,FBGN0011768-MONOMER|FBGN0011693-MONOMER|FBGN0036620-MONOMER|FBGN0042137-MONOMER|FBGN0017482-MONOMER|FBGN0000055-MONOMER|FBGN0000056-MONOMER|FBGN0000640-MONOMER
RXN-9989,EC-3.1.3.29,
1.5.1.34-RXN,EC-1.5.1.34,FBGN0035964-MONOMER
1.2.1.27-RXN,EC-1.2.1.27,FBGN0023537-MONOMER
RXN-10722,none,
RXN-4761,EC-2.4.1.170,
RXN6666-5,EC-1.2.1.3,FBGN0051075-MONOMER|FBGN0036857-MONOMER|FBGN0012036-MONOMER
1.5.1.9-RXN,EC-1.5.1.9,
RXN-8117,none,
RXN-7796,none,
PEPSYNTH-RXN,EC-2.7.9.2,
RXN-9005,EC-2.4.1,
AMVAL-RXN,EC-3.5.1,
DUDPKIN-RXN,EC-2.7.4.6,FBGN0030573-MONOMER|FBGN0000150-MONOMER|FBGN0028997-MONOMER|FBGN0039809-MONOMER
RXN0-5268,EC-1.10.2,
RXN0-363,EC-3.2.2.1,
RXN4FS-3,EC-2.7.7,
L-ARABINITOL-4-DEHYDROGENASE-RXN,EC-1.1.1.12,
HOMOCITRATE-SYNTHASE-RXN,EC-2.3.3.14,
4.1.1.77-RXN,EC-4.1.1.77,
TRIMETHYLLYSINE-DIOXYGENASE-RXN,EC-1.14.11.8,FBGN0038795-MONOMER
RIBULP3EPIM-RXN,EC-5.1.3.1,FBGN0050499-MONOMER
RXN-10056,EC-3.5.1,
RXN-709,EC-5.3.3.1,
GDPKIN-RXN,EC-2.7.4.6,FBGN0030573-MONOMER|FBGN0000150-MONOMER|FBGN0028997-MONOMER|FBGN0039809-MONOMER
RXN-7634,EC-1.14.11,
1.1.1.285-RXN,EC-1.1.1.285,
DEOXYGLUCONOKIN-RXN,EC-2.7.1.45,
RXN-9172,EC-5,
FMNREDUCT-RXN,EC-1.5.1.29,
2.4.2.38-RXN,EC-2.4.2.38,FBGN0039625-MONOMER
LCYSDESULF-RXN,EC-4.4.1.1,FBGN0000566-MONOMER|FBGN0032393-MONOMER
PYRROLINECARBREDUCT-RXN,EC-1.5.1.2,FBGN0015781-MONOMER|FBGN0038516-MONOMER
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN,EC-3.6.1.29,FBGN0024945-MONOMER
HOMOACONITATE-HYDRATASE-RXN,EC-4.2.1.36,
N-ACETYLNEURAMINATE-SYNTHASE-RXN,EC-2.5.1.56,FBGN0038045-MONOMER
RXN66-23,EC-1.1.1.170,
1.1.1.34-RXN,EC-1.1.1.34,FBGN0001205-MONOMER|FBGN0028916-MONOMER
SUCCINYL-COA-HYDROLASE-RXN,EC-3.1.2.3,FBGN0039855-MONOMER|FBGN0031844-MONOMER
3.6.3.35-RXN,EC-3.6.3.35,FBGN0052451-MONOMER
KETOACYLCOATHIOL-RXN,EC-2.3.1.16,FBGN0031043-MONOMER|FBGN0017647-MONOMER|FBGN0025352-MONOMER|FBGN0032715-MONOMER|FBGN0040064-MONOMER
2.3.1.90-RXN,EC-2.3.1.90,
RXN-5242,EC-1.14.13.78,
1.2.1.32-RXN,EC-1.2.1.32,
PEPCARBOX-RXN,EC-4.1.1.31,
3.2.1.35-RXN,EC-3.2.1.35,FBGN0038870-MONOMER
RXN3O-458,EC-2.7.1.91,
LACTALDREDUCT-RXN,EC-1.1.1.77,
MANNKIN-RXN,EC-2.7.1.7,FBGN0001186-MONOMER|FBGN0001187-MONOMER|FBGN0022394-MONOMER|FBGN0022395-MONOMER|FBGN0042710-MONOMER|FBGN0042711-MONOMER
DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN,EC-4.4.1.3,
SPERMINE-SYNTHASE-RXN,EC-2.5.1.22,MONOMER54L-4117|FBGN0036272-MONOMER
GLUTAMATE-DEHYDROGENASE-RXN,EC-1.4.1.2,
ESTRADIOL-17-BETA-DEHYDROGENASE-RXN,EC-1.1.1.62,FBGN0021765-MONOMER|FBGN0030519-MONOMER|FBGN0030731-MONOMER
RXN66-22,EC-1.14.13.72,FBGN0030485-MONOMER|FBGN0030509-MONOMER
RXN0-5305,none,
RXN-5647,EC-3.1.3.75,
RXN0-5234,EC-4.1.2.5,FBGN0039094-MONOMER
RXN-2601,EC-2.3.1.133,
CITRULLINASE-RXN,EC-3.5.1.20,
RXN-8441,EC-3.2.2,
RXN-8631,EC-4.1.2.13,FBGN0000064-MONOMER|FBGN0039425-MONOMER
STEROL-O-ACYLTRANSFERASE-RXN,EC-2.3.1.26,FBGN0037612-MONOMER|FBGN0004797-MONOMER|FBGN0031327-MONOMER
RXN3O-12,EC-1.14.13,
ALDOSE1EPIM-RXN,EC-5.1.3.3,FBGN0028540-MONOMER|FBGN0030525-MONOMER|FBGN0035679-MONOMER|FBGN0043783-MONOMER|FBGN0052445-MONOMER
FGAMSYN-RXN,EC-6.3.5.3,FBGN0000052-MONOMER
RXN-6381,EC-1.4.3.22,
TRANS-RXN-206,none,
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN,EC-4.1.1.44,
2.5.1.19-RXN,EC-2.5.1.19,
RXN3O-663,EC-2.4.1,
RXN-3763,EC-1.14.21,
CDPDIGLYSYN-RXN,EC-2.7.7.41,FBGN0010350-MONOMER|FBGN0034141-MONOMER
RXN-8092,EC-1.2.3.1,FBGN0000065-MONOMER
ADENODEAMIN-RXN,EC-3.5.4.4,FBGN0043025-MONOMER|FBGN0037661-MONOMER|FBGN0038172-MONOMER|FBGN0038173-MONOMER|FBGN0036751-MONOMER|FBGN0036752-MONOMER|FBGN0033952-MONOMER
RXN-10715,EC-1.2.1.3,
ARYLAMINE-N-ACETYLTRANSFERASE-RXN,EC-2.3.1.5,FBGN0019643-MONOMER
MALIC-NAD-RXN,EC-1.1.1.38,
DHSHIKIMATE-DEHYDRO-RXN,EC-4.2.1,
RXN-8085,EC-1.14.13,
MALEYLACETOACETATE-ISOMERASE-RXN,EC-5.2.1.2,FBGN0037696-MONOMER|FBGN0037697-MONOMER
RXN-9268,none,
GUANOSINE-DEAMINASE-RXN,EC-3.5.4.15,
SULFITE-REDUCTASE-RXN,EC-1.8.99.1,
RXN-5424,EC-1.1.99.8,
ALDOSE-1-EPIMERASE-RXN,EC-5.1.3.3,FBGN0028540-MONOMER|FBGN0030525-MONOMER|FBGN0035679-MONOMER|FBGN0043783-MONOMER|FBGN0052445-MONOMER
THIAMIN-PYROPHOSPHOKINASE-RXN,EC-2.7.6.2,FBGN0039958-MONOMER|FBGN0037942-MONOMER
SUCCGLU-SEMIALDEHYDE-SUCCGLU-RXN,EC-1.5.1.12,FBGN0053092-MONOMER|FBGN0036403-MONOMER|FBGN0037138-MONOMER
DESULFOHEPARIN-SULFOTRANSFERASE-RXN,EC-2.8.2.8,FBGN0020251-MONOMER
RXN-8661,EC-1.14.11.27,FBGN0033233-MONOMER|FBGN0053182-MONOMER
RXN-776,none,
RXN3O-1120,none,
ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN,EC-1.1.1.200,
RXN-1026,none,FBGN0037534-MONOMER|CPLX54L-8
RXN-1884,EC-1.1.1,
RXN-8162,EC-1.2.1.31,
UDPSUGARHYDRO-RXN,EC-3.6.1.45,
PRDABST-RXN,EC-1.21.4.1,
RXN-25,none,
RXN3DJ-64,none,
RXN-8954,none,
ACETCAPR-RXN,EC-2.6.1,
METHENYLTHFCYCLOHYDRO-RXN,EC-3.5.4.9,FBGN0010222-MONOMER|FBGN0020385-MONOMER
RXN-8632,none,
RXN0-5266,EC-1.10.2,
RXN-1101,EC-1.2.1.44,
RXN-9373,EC-2.1.1,
NANK-RXN,EC-2.7.1.60,
NARINGENIN-3-DIOXYGENASE-RXN,EC-1.14.11.9,
RXN-8783,EC-3.1.1.17,
2.1.1.69-RXN,EC-2.1.1.69,
R186-RXN,none,
RXN-9320,none,
R10-RXN,EC-4.1.2.43,
