geneid	taxid	debref	symbol	Full_name_from_nomenclature_authority
30970	7227	FBgn0040373	CG3038	-
30971	7227	FBgn0040372	G9a	-
30972	7227	FBgn0261446	CG13377	-
30973	7227	FBgn0000316	cin	cinnamon
30975	7227	FBgn0005427	ewg	erect wing
30976	7227	FBgn0040370	CG13375	-
30977	7227	FBgn0040371	CG12470	-
30978	7227	FBgn0029521	Or1a	Odorant receptor 1a
30979	7227	FBgn0024989	CG3777	-
30980	7227	FBgn0004034	y	yellow
30981	7227	FBgn0000022	ac	achaete
30982	7227	FBgn0004170	sc	scute
30983	7227	FBgn0002561	l(1)sc	lethal of scute
30984	7227	FBgn0011822	pcl	pepsinogen-like
30985	7227	FBgn0000137	ase	asense
30986	7227	FBgn0010019	Cyp4g1	Cytochrome P450-4g1
30988	7227	FBgn0029522	CG13373	-
30990	7227	FBgn0029524	CG3176	-
30991	7227	FBgn0029525	CG18273	-
30994	7227	FBgn0023536	CG3156	-
30995	7227	FBgn0023537	CG17896	-
30996	7227	FBgn0023534	CG17778	-
30998	7227	FBgn0004648	svr	silver
31000	7227	FBgn0260400	elav	embryonic lethal abnormal vision
31001	7227	FBgn0024983	CG4293	-
31002	7227	FBgn0000108	Appl	beta amyloid protein precursor-like
31003	7227	FBgn0261930	vnd	ventral nervous system defective
31004	7227	FBgn0025633	CG13366	-
31005	7227	FBgn0029529	CG13365	-
31006	7227	FBgn0016038	mod(r)	modifier of rudimentary
31007	7227	FBgn0025640	CG13369	-
31009	7227	FBgn0002579	RpL36	Ribosomal protein L36
31010	7227	FBgn0001341	l(1)1Bi	lethal (1) 1Bi
31011	7227	FBgn0020381	Dredd	Death related ced-3/Nedd2-like caspase
31012	7227	FBgn0003575	su(sable)	suppressor of sable
31013	7227	FBgn0025634	CG13367	-
31014	7227	FBgn0025638	Roc1a	Regulator of cullins 1a
31015	7227	FBgn0025639	Hmt4-20	Histone methyltransferase 4-20
31016	7227	FBgn0025637	SkpA	SKP1-related A
31017	7227	FBgn0021764	sdk	sidekick
31018	7227	FBgn0029531	CG13362	-
31019	7227	FBgn0029532	CG13361	-
31020	7227	FBgn0040383	CG5254	-
31021	7227	FBgn0040382	CG5273	-
31022	7227	FBgn0015288	RpL22	Ribosomal protein L22
31023	7227	FBgn0027343	fz3	frizzled 3
31024	7227	FBgn0086368	tw	Protein O-mannosyltransferase 2
31025	7227	FBgn0025620	CG13360	-
31026	7227	FBgn0025621	CG16989	-
31027	7227	FBgn0015799	Rbf	Retinoblastoma-family protein
31028	7227	FBgn0025616	CG13359	-
31029	7227	FBgn0026874	CG13358	-
31030	7227	FBgn0260855	Sec22	Sec22 ortholog (S. cerevisiae)
31031	7227	FBgn0264449	CG43867	-
31032	7227	FBgn0029535	CG14635	-
31033	7227	FBgn0040341	CG11664	-
31036	7227	FBgn0029539	CG11663	-
31037	7227	FBgn0040344	CG3711	-
31038	7227	FBgn0040339	MED22	Mediator complex subunit 22
31039	7227	FBgn0040345	CG3708	-
31042	7227	FBgn0040340	TRAM	-
31043	7227	FBgn0040346	CG3704	-
31044	7227	FBgn0040347	mus81	-
31045	7227	FBgn0040348	CG3703	-
31046	7227	FBgn0040349	CG3699	-
31047	7227	FBgn0040350	CG3690	-
31048	7227	FBgn0040338	TfIIA-S-2	-
31049	7227	FBgn0029552	CG14631	-
31050	7227	FBgn0040351	CG11638	-
31052	7227	FBgn0026143	CDC45L	-
31054	7227	FBgn0003638	su(w[a])	suppressor of white-apricot
31055	7227	FBgn0040398	CG14629	-
31056	7227	FBgn0040397	CG3655	-
31057	7227	FBgn0040365	CG14628	-
31059	7227	FBgn0040368	eIF4E-7	-
31060	7227	FBgn0040364	CG11378	-
31061	7227	FBgn0040363	CG11384	-
31062	7227	FBgn0040362	CG11379	-
31063	7227	FBgn0040361	CG14627	-
31064	7227	FBgn0040360	CG14626	-
31065	7227	FBgn0040359	CG11380	-
31066	7227	FBgn0040358	CG14625	-
31067	7227	FBgn0029568	CG11381	-
31068	7227	FBgn0040357	CG14624	-
31069	7227	FBgn0040367	CG11382	-
31070	7227	FBgn0040366	CG11398	-
31071	7227	FBgn0261444	CG3638	-
31072	7227	FBgn0026876	CG11403	-
31074	7227	FBgn0025642	CG32812	-
31075	7227	FBgn0025641	DAAM	Dishevelled Associated Activator of Morphogenesis
31078	7227	FBgn0024366	CG11409	-
31079	7227	FBgn0024362	CG11412	-
31080	7227	FBgn0024361	Tsp2A	Tetraspanin 2A
31081	7227	FBgn0024360	CG11418	-
31082	7227	FBgn0024365	CG12773	-
31083	7227	FBgn0024364	CG11417	-
31084	7227	FBgn0000826	png	pan gu
31085	7227	FBgn0029573	CG14770	-
31086	7227	FBgn0024987	ssx	sister-of-Sex-lethal
31089	7227	FBgn0052813	CG32813	-
31090	7227	FBgn0024985	CG11448	-
31093	7227	FBgn0265139	Gr2a	Gustatory receptor 2a
31094	7227	FBgn0027795	CG14785	-
31095	7227	FBgn0027794	Lrpprc2	Leucine-rich pentatricopeptide repeat containing 2
31096	7227	FBgn0027793	CG14787	-
31097	7227	FBgn0266284	Ns3	Nucleostemin ortholog (H. sapiens) 3
31098	7227	FBgn0027791	O-fut2	O-fucosyltransferase 2
31099	7227	FBgn0026872	CG14777	-
31100	7227	FBgn0029580	CG14778	-
31101	7227	FBgn0013720	pck	pickel
31102	7227	FBgn0025383	CG14780	-
31103	7227	FBgn0025382	Rab27	-
31104	7227	FBgn0260986	mei-38	meiotic 38
31105	7227	FBgn0025381	rush	rush hour
31106	7227	FBgn0003517	sta	stubarista
31107	7227	FBgn0053513	Nmdar2	NMDA receptor 2
31109	7227	FBgn0025393	CG14795	-
31110	7227	FBgn0025394	inc	insomniac
31111	7227	FBgn0025390	Mur2B	Mucin related 2B
31118	7227	FBgn0000482	dor	deep orange
31119	7227	FBgn0023530	CG3740	-
31120	7227	FBgn0001189	hfw	halfway
31121	7227	FBgn0023531	CG32809	-
31123	7227	FBgn0029587	CG14797	-
31124	7227	FBgn0024897	b6	-
31126	7227	FBgn0029588	CG14798	-
31127	7227	FBgn0023130	a6	-
31128	7227	FBgn0025378	CG3795	-
31129	7227	FBgn0025391	Scgdelta	Sarcoglycan delta
31130	7227	FBgn0026086	Adar	Adenosine deaminase acting on RNA
31131	7227	FBgn0029589	CG14810	-
31132	7227	FBgn0029590	CG14811	-
31136	7227	FBgn0261548	CG42666	-
31137	7227	FBgn0026090	CG14812	-
31139	7227	FBgn0023515	CG14814	-
31140	7227	FBgn0026873	MED18	Mediator complex subunit 18
31141	7227	FBgn0023516	Pex5	Peroxin 5
31142	7227	FBgn0023513	CG14803	-
31143	7227	FBgn0023517	Pgam5	Phosphoglycerate mutase 5
31144	7227	FBgn0014411	Vps26	Vacuolar protein sorting 26
31145	7227	FBgn0026089	CG14817	-
31146	7227	FBgn0023514	CG14805	-
31147	7227	FBgn0026088	CG14818	-
31148	7227	FBgn0029594	CG14806	-
31149	7227	FBgn0023518	trr	trithorax-related
31150	7227	FBgn0023519	mRpL16	mitochondrial ribosomal protein L16
31151	7227	FBgn0000117	arm	armadillo
31152	7227	FBgn0052801	CG32801	-
31153	7227	FBgn0023509	mip130	Myb-interacting protein 130
31154	7227	FBgn0023511	Edem1	ER degradation enhancer, mannosidase alpha-like 1
31155	7227	FBgn0023510	Rbcn-3B	Rabconnectin-3B
31156	7227	FBgn0023512	eIF2B-epsilon	-
31157	7227	FBgn0023508	Ocrl	Oculocerebrorenal syndrome of Lowe
31158	7227	FBgn0023522	CG11596	-
31160	7227	FBgn0023521	CG3587	-
31162	7227	FBgn0264562	Hr4	-
31163	7227	FBgn0023545	CG4406	-
31165	7227	FBgn0003964	usp	ultraspiracle
31166	7227	FBgn0000667	Actn	alpha actinin
31167	7227	FBgn0026878	CG4325	-
31168	7227	FBgn0025631	moody	-
31169	7227	FBgn0025632	CG4313	-
31170	7227	FBgn0025625	Sik2	Salt-inducible kinase 2
31171	7227	FBgn0025626	CG4281	-
31172	7227	FBgn0029596	CG14054	-
31173	7227	FBgn0025627	CG4194	-
31174	7227	FBgn0025628	CG4199	-
31175	7227	FBgn0025630	CG4061	-
31176	7227	FBgn0025629	CG4045	-
31177	7227	FBgn0025624	CG4025	-
31178	7227	FBgn0040394	CG16903	-
31179	7227	FBgn0040395	Unc-76	-
31181	7227	FBgn0004861	ph-p	polyhomeotic proximal
31184	7227	FBgn0023507	CG3835	-
31185	7227	FBgn0004654	Pgd	Phosphogluconate dehydrogenase
31186	7227	FBgn0013432	bcn92	-
31187	7227	FBgn0004655	wapl	wings apart-like
31188	7227	FBgn0005670	Cyp4d1	Cytochrome P450-4d1
31189	7227	FBgn0023540	CG3630	-
31190	7227	FBgn0025839	ND-B14.5A	NADH dehydrogenase (ubiquinone) B14.5 A subunit
31192	7227	FBgn0011576	Cyp4d2	Cytochrome P450-4d2
31193	7227	FBgn0015036	Cyp4ae1	Cytochrome P450-4ae1
31194	7227	FBgn0003116	pn	prune
31195	7227	FBgn0023542	Nmd3	Nonsense-mediated mRNA 3
31196	7227	FBgn0024984	CG3457	-
31197	7227	FBgn0029603	CG14053	-
