,Enzyme Common Name,,EnzymeId,BioCyn ID
1,malate dehydrogenase,primary,606,MONOMER54L-3156
2,"ATPase activity, coupled",primary,641,FBGN0086896-MONOMER
3,ORF,primary,,FBGN0025393-MONOMER
4,two-component sensor activity,primary,,FBGN0000535-MONOMER
5,ORF,primary,,FBGN0031756-MONOMER
6,ORF,primary,,FBGN0243516-MONOMER
7,ORF,primary,,FBGN0037568-MONOMER
8,acylphosphatase activity,primary,480,FBGN0033893-MONOMER
9,translation release factor activity,primary,,FBGN0032261-MONOMER
10,transporter activity,primary,,FBGN0052054-MONOMER
11,ORF,primary,,FBGN0034423-MONOMER
12,protein binding,primary,,FBGN0010660-MONOMER
13,cytoskeletal protein binding//actin binding,primary,,FBGN0085376-MONOMER
14,ORF,primary,,FBGN0032700-MONOMER
15,zinc ion binding,primary,,FBGN0040366-MONOMER
16,ORF,primary,,FBGN0259718-MONOMER
17,protein tyrosine phosphatase activity,primary,1490,FBGN0028341-MONOMER
18,ribosome binding//tRNA binding//translation initiation factor activity//serine-type endopeptidase activity,primary,,FBGN0037135-MONOMER
19,ORF,primary,,FBGN0030107-MONOMER
20,DNA binding,primary,,FBGN0053816-MONOMER
21,ORF,primary,,FBGN0053771-MONOMER
22,translation initiation factor activity,primary,,FBGN0037249-MONOMER
23,serine-type endopeptidase activity,primary,,FBGN0039599-MONOMER
24,ORF,primary,,FBGN0040832-MONOMER
25,neuropeptide hormone activity//diuretic hormone activity//receptor binding//myostimulatory hormone activity,primary,,FBGN0039722-MONOMER
26,ORF,primary,,FBGN0030181-MONOMER
27,ORF,primary,,FBGN0259821-MONOMER
28,ORF,primary,,FBGN0034322-MONOMER
29,DNA binding//transcription factor activity//zinc ion binding,primary,,FBGN0002521-MONOMER
30,phosphatidylethanolamine binding,primary,,FBGN0037433-MONOMER
31,ORF,primary,,FBGN0052237-MONOMER
32,ORF,primary,,FBGN0085228-MONOMER
33,mRNA (guanine-N7-)-methyltransferase activity,primary,1392,FBGN0001974-MONOMER
34,ORF,primary,,FBGN0031114-MONOMER
35,iron ion transmembrane transporter activity,primary,,FBGN0022355-MONOMER
36,protein serine/threonine kinase activity,primary,1488,FBGN0015617-MONOMER
37,MAP kinase kinase kinase activity,primary,1474,FBGN0024329-MONOMER
38,GTPase activity,primary,1171,FBGN0014009-MONOMER
39,DNA binding,primary,,FBGN0037634-MONOMER
40,protein binding,primary,,FBGN0035140-MONOMER
41,carboxypeptidase A activity,primary,1442,FBGN0052379-MONOMER
42,transferase activity,primary,1401,FBGN0037470-MONOMER
43,NAD+ ADP-ribosyltransferase activity,primary,1389,FBGN0010247-MONOMER
44,DNA-dependent ATPase activity,primary,641,FBGN0003480-MONOMER
45,inositol-1(or 4)-monophosphatase activity,primary,868,FBGN0036552-MONOMER
46,structural constituent of ribosome,primary,,FBGN0033912-MONOMER
47,protein tyrosine phosphatase activity,primary,1490,FBGN0031799-MONOMER
48,UDP-glucose 4-epimerase activity,primary,296,FBGN0036997-MONOMER
49,metalloexopeptidase activity,primary,,FBGN0052454-MONOMER
50,ORF,primary,,FBGN0030821-MONOMER
51,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0005671-MONOMER
52,structural constituent of ribosome,primary,,FBGN0039300-MONOMER
53,protein binding//serine-type endopeptidase activity,primary,,FBGN0086708-MONOMER
54,mRNA binding//nucleic acid binding,primary,,FBGN0028974-MONOMER
55,ORF,primary,,FBGN0035411-MONOMER
56,signal transducer activity//GTP binding,primary,,FBGN0058005-MONOMER
57,ORF,primary,,FBGN0033348-MONOMER
58,ORF,primary,,FBGN0038675-MONOMER
59,unfolded protein binding//phosphopantetheine binding//heat shock protein binding,primary,,FBGN0020129-MONOMER
60,ORF,primary,,FBGN0033166-MONOMER
61,ATP binding//methyltransferase activity,primary,,FBGN0032873-MONOMER
62,GTPase activity,primary,1171,FBGN0053158-MONOMER
63,superoxide dismutase activity,primary,1229,FBGN0010213-MONOMER
64,transmembrane transporter activity,primary,,FBGN0030620-MONOMER
65,ORF,primary,,FBGN0030583-MONOMER
66,galactosyltransferase activity,primary,357,FBGN0033315-MONOMER
67,ORF,primary,,FBGN0052221-MONOMER
68,ORF,primary,,FBGN0016792-MONOMER
69,sequence-specific DNA binding//DNA binding//signal transducer activity//transcription factor activity,primary,,FBGN0003513-MONOMER
