1,malate dehydrogenase,primary,1,MONOMER54L-3156
2,"ATPase activity, coupled",primary,2,FBGN0086896-MONOMER
3,ORF,primary,3,FBGN0025393-MONOMER
4,two-component sensor activity,primary,4,FBGN0000535-MONOMER
5,ORF,primary,5,FBGN0031756-MONOMER
6,ORF,primary,6,FBGN0243516-MONOMER
7,ORF,primary,7,FBGN0037568-MONOMER
8,acylphosphatase activity,primary,8,FBGN0033893-MONOMER
9,translation release factor activity,primary,9,FBGN0032261-MONOMER
10,transporter activity,primary,10,FBGN0052054-MONOMER
11,ORF,primary,11,FBGN0034423-MONOMER
12,protein binding,primary,12,FBGN0010660-MONOMER
13,cytoskeletal protein binding//actin binding,primary,13,FBGN0085376-MONOMER
14,ORF,primary,14,FBGN0032700-MONOMER
15,zinc ion binding,primary,15,FBGN0040366-MONOMER
16,ORF,primary,16,FBGN0259718-MONOMER
17,protein tyrosine phosphatase activity,primary,17,FBGN0028341-MONOMER
18,ribosome binding//tRNA binding//translation initiation factor activity//serine-type endopeptidase activity,primary,18,FBGN0037135-MONOMER
19,ORF,primary,19,FBGN0030107-MONOMER
20,DNA binding,primary,20,FBGN0053816-MONOMER
21,ORF,primary,21,FBGN0053771-MONOMER
22,translation initiation factor activity,primary,22,FBGN0037249-MONOMER
23,serine-type endopeptidase activity,primary,23,FBGN0039599-MONOMER
24,ORF,primary,24,FBGN0040832-MONOMER
25,neuropeptide hormone activity//diuretic hormone activity//receptor binding//myostimulatory hormone activity,primary,25,FBGN0039722-MONOMER
26,ORF,primary,26,FBGN0030181-MONOMER
27,ORF,primary,27,FBGN0259821-MONOMER
28,ORF,primary,28,FBGN0034322-MONOMER
29,DNA binding//transcription factor activity//zinc ion binding,primary,29,FBGN0002521-MONOMER
30,phosphatidylethanolamine binding,primary,30,FBGN0037433-MONOMER
31,ORF,primary,31,FBGN0052237-MONOMER
32,ORF,primary,32,FBGN0085228-MONOMER
33,mRNA (guanine-N7-)-methyltransferase activity,primary,33,FBGN0001974-MONOMER
34,ORF,primary,34,FBGN0031114-MONOMER
35,iron ion transmembrane transporter activity,primary,35,FBGN0022355-MONOMER
36,protein serine/threonine kinase activity,primary,36,FBGN0015617-MONOMER
37,MAP kinase kinase kinase activity,primary,37,FBGN0024329-MONOMER
38,GTPase activity,primary,38,FBGN0014009-MONOMER
39,DNA binding,primary,39,FBGN0037634-MONOMER
40,protein binding,primary,40,FBGN0035140-MONOMER
41,carboxypeptidase A activity,primary,41,FBGN0052379-MONOMER
42,transferase activity,primary,42,FBGN0037470-MONOMER
43,NAD+ ADP-ribosyltransferase activity,primary,43,FBGN0010247-MONOMER
44,DNA-dependent ATPase activity,primary,44,FBGN0003480-MONOMER
45,inositol-1(or 4)-monophosphatase activity,primary,45,FBGN0036552-MONOMER
46,structural constituent of ribosome,primary,46,FBGN0033912-MONOMER
47,protein tyrosine phosphatase activity,primary,47,FBGN0031799-MONOMER
48,UDP-glucose 4-epimerase activity,primary,48,FBGN0036997-MONOMER
49,metalloexopeptidase activity,primary,49,FBGN0052454-MONOMER
50,ORF,primary,50,FBGN0030821-MONOMER
51,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,51,FBGN0005671-MONOMER
52,structural constituent of ribosome,primary,52,FBGN0039300-MONOMER
53,protein binding//serine-type endopeptidase activity,primary,53,FBGN0086708-MONOMER
54,mRNA binding//nucleic acid binding,primary,54,FBGN0028974-MONOMER
55,ORF,primary,55,FBGN0035411-MONOMER
56,signal transducer activity//GTP binding,primary,56,FBGN0058005-MONOMER
57,ORF,primary,57,FBGN0033348-MONOMER
58,ORF,primary,58,FBGN0038675-MONOMER
