1,MONOMER54L-3156,malate dehydrogenase
2,FBGN0086896-MONOMER,"ATPase activity, coupled"
3,FBGN0025393-MONOMER,ORF
4,FBGN0000535-MONOMER,two-component sensor activity
5,FBGN0031756-MONOMER,ORF
6,FBGN0243516-MONOMER,ORF
7,FBGN0037568-MONOMER,ORF
8,FBGN0033893-MONOMER,acylphosphatase activity
9,FBGN0032261-MONOMER,translation release factor activity
10,FBGN0052054-MONOMER,transporter activity
11,FBGN0034423-MONOMER,ORF
12,FBGN0010660-MONOMER,protein binding
13,FBGN0085376-MONOMER,cytoskeletal protein binding//actin binding
14,FBGN0032700-MONOMER,ORF
15,FBGN0040366-MONOMER,zinc ion binding
16,FBGN0259718-MONOMER,ORF
17,FBGN0028341-MONOMER,protein tyrosine phosphatase activity
18,FBGN0037135-MONOMER,ribosome binding//tRNA binding//translation initiation factor activity//serine-type endopeptidase activity
19,FBGN0030107-MONOMER,ORF
20,FBGN0053816-MONOMER,DNA binding
21,FBGN0053771-MONOMER,ORF
22,FBGN0037249-MONOMER,translation initiation factor activity
23,FBGN0039599-MONOMER,serine-type endopeptidase activity
24,FBGN0040832-MONOMER,ORF
25,FBGN0039722-MONOMER,neuropeptide hormone activity//diuretic hormone activity//receptor binding//myostimulatory hormone activity
26,FBGN0030181-MONOMER,ORF
27,FBGN0259821-MONOMER,ORF
28,FBGN0034322-MONOMER,ORF
29,FBGN0002521-MONOMER,DNA binding//transcription factor activity//zinc ion binding
30,FBGN0037433-MONOMER,phosphatidylethanolamine binding
31,FBGN0052237-MONOMER,ORF
32,FBGN0085228-MONOMER,ORF
33,FBGN0001974-MONOMER,mRNA (guanine-N7-)-methyltransferase activity
34,FBGN0031114-MONOMER,ORF
35,FBGN0022355-MONOMER,iron ion transmembrane transporter activity
36,FBGN0015617-MONOMER,protein serine/threonine kinase activity
37,FBGN0024329-MONOMER,MAP kinase kinase kinase activity
38,FBGN0014009-MONOMER,GTPase activity
39,FBGN0037634-MONOMER,DNA binding
40,FBGN0035140-MONOMER,protein binding
41,FBGN0052379-MONOMER,carboxypeptidase A activity
42,FBGN0037470-MONOMER,transferase activity
43,FBGN0010247-MONOMER,NAD+ ADP-ribosyltransferase activity
44,FBGN0003480-MONOMER,DNA-dependent ATPase activity
45,FBGN0036552-MONOMER,inositol-1(or 4)-monophosphatase activity
46,FBGN0033912-MONOMER,structural constituent of ribosome
47,FBGN0031799-MONOMER,protein tyrosine phosphatase activity
48,FBGN0036997-MONOMER,UDP-glucose 4-epimerase activity
49,FBGN0052454-MONOMER,metalloexopeptidase activity
50,FBGN0030821-MONOMER,ORF
51,FBGN0005671-MONOMER,"hydrogen ion transporting ATPase activity, rotational mechanism"
52,FBGN0039300-MONOMER,structural constituent of ribosome
53,FBGN0086708-MONOMER,protein binding//serine-type endopeptidase activity
54,FBGN0028974-MONOMER,mRNA binding//nucleic acid binding
55,FBGN0035411-MONOMER,ORF
56,FBGN0058005-MONOMER,signal transducer activity//GTP binding
57,FBGN0033348-MONOMER,ORF
58,FBGN0038675-MONOMER,ORF
59,FBGN0020129-MONOMER,unfolded protein binding//phosphopantetheine binding//heat shock protein binding
60,FBGN0033166-MONOMER,ORF
61,FBGN0032873-MONOMER,ATP binding//methyltransferase activity
62,FBGN0053158-MONOMER,GTPase activity
63,FBGN0010213-MONOMER,superoxide dismutase activity
64,FBGN0030620-MONOMER,transmembrane transporter activity
65,FBGN0030583-MONOMER,ORF
66,FBGN0033315-MONOMER,galactosyltransferase activity
67,FBGN0052221-MONOMER,ORF
68,FBGN0016792-MONOMER,ORF
69,FBGN0003513-MONOMER,sequence-specific DNA binding//DNA binding//signal transducer activity//transcription factor activity
70,FBGN0039156-MONOMER,long-chain-fatty-acid-CoA ligase activity
71,FBGN0024361-MONOMER,ORF
72,FBGN0053213-MONOMER,zinc ion binding//nucleic acid binding
73,FBGN0003501-MONOMER,protein tyrosine kinase activity//ATP binding//protein binding
74,FBGN0052365-MONOMER,ORF
75,FBGN0015585-MONOMER,ORF
76,FBGN0032049-MONOMER,pepsin A activity
77,FBGN0037110-MONOMER,ORF
78,FBGN0051246-MONOMER,ORF
79,FBGN0015804-MONOMER,calmodulin binding
80,FBGN0052651-MONOMER,ORF
81,FBGN0028997-MONOMER,nucleoside diphosphate kinase activity
82,FBGN0033364-MONOMER,ORF
83,FBGN0024968-MONOMER,DNA binding
84,FBGN0034590-MONOMER,guanylate kinase activity
85,FBGN0003036-MONOMER,voltage-gated sodium channel activity
86,FBGN0031505-MONOMER,NADH dehydrogenase activity
87,FBGN0030163-MONOMER,receptor binding
88,FBGN0031934-MONOMER,glycine transmembrane transporter activity
89,FBGN0033431-MONOMER,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
90,FBGN0036872-MONOMER,ORF
91,FBGN0036328-MONOMER,L-malate dehydrogenase activity
92,FBGN0032050-MONOMER,structural constituent of ribosome
93,FBGN0037751-MONOMER,DNA binding//zinc ion binding//nucleic acid binding
94,FBGN0029706-MONOMER,[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity
95,FBGN0002917-MONOMER,ion channel activity
96,FBGN0031134-MONOMER,ORF
97,FBGN0023511-MONOMER,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity"
98,FBGN0039774-MONOMER,ceramidase activity
99,FBGN0032664-MONOMER,binding
100,FBGN0004034-MONOMER,ORF
101,FBGN0259819-MONOMER,membrane dipeptidase activity
102,FBGN0035816-MONOMER,ORF
103,FBGN0029700-MONOMER,ORF
104,FBGN0011666-MONOMER,"nucleotide binding//translation repressor activity, nucleic acid binding//mRNA binding//translation regulator activity"
105,FBGN0045478-MONOMER,taste receptor activity
106,FBGN0030241-MONOMER,ORF
107,FBGN0036621-MONOMER,protein binding//zinc ion binding//nucleic acid binding
108,FBGN0022999-MONOMER,nicotinic acetylcholine-activated cation-selective channel activity
109,FBGN0036305-MONOMER,ORF
110,FBGN0051706-MONOMER,ORF
111,FBGN0039576-MONOMER,ubiquinol-cytochrome-c reductase activity
112,FBGN0022709-MONOMER,uridine kinase activity
113,FBGN0085209-MONOMER,ORF
114,FBGN0033778-MONOMER,serine-type endopeptidase inhibitor activity
115,FBGN0033713-MONOMER,ORF
116,FBGN0028426-MONOMER,"endoribonuclease activity, producing 5'-phosphomonoesters"
117,FBGN0030788-MONOMER,transcription corepressor activity
118,FBGN0035539-MONOMER,calcium ion binding
119,FBGN0003575-MONOMER,transcription repressor activity//mRNA binding//zinc ion binding//nucleic acid binding
120,FBGN0034122-MONOMER,ORF
121,FBGN0036044-MONOMER,protein binding
122,FBGN0024889-MONOMER,protein transmembrane transporter activity
123,FBGN0031950-MONOMER,ORF
124,FBGN0052030-MONOMER,actin binding
125,FBGN0027586-MONOMER,ORF
126,FBGN0004892-MONOMER,RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding
127,FBGN0022382-MONOMER,protein binding//cAMP-dependent protein kinase regulator activity
128,FBGN0085466-MONOMER,ORF
129,FBGN0028902-MONOMER,microtubule binding
130,FBGN0046834-MONOMER,ORF
131,FBGN0036118-MONOMER,ORF
132,FBGN0035384-MONOMER,ORF
133,FBGN0034011-MONOMER,ORF
134,FBGN0052830-MONOMER,zinc ion binding
135,FBGN0040383-MONOMER,tricarboxylate secondary active transmembrane transporter activity//binding//transmembrane transporter activity
136,FBGN0038157-MONOMER,acid phosphatase activity
137,FBGN0017546-MONOMER,structural constituent of ribosome
138,FBGN0030410-MONOMER,ORF
139,FBGN0034883-MONOMER,water channel activity
140,FBGN0053281-MONOMER,monosaccharide transmembrane transporter activity
141,FBGN0085680-MONOMER,ORF
142,FBGN0029858-MONOMER,ORF
143,FBGN0038321-MONOMER,ORF
144,FBGN0039869-MONOMER,unfolded protein binding
145,FBGN0037908-MONOMER,ORF
146,FBGN0031947-MONOMER,DNA binding
147,FBGN0015583-MONOMER,hormone activity//sugar binding//binding//galactose binding
148,FBGN0036273-MONOMER,inositol or phosphatidylinositol phosphatase activity
149,FBGN0030451-MONOMER,ORF
150,FBGN0052100-MONOMER,ORF
151,FBGN0015022-MONOMER,chromatin binding
152,FBGN0001122-MONOMER,GTPase activity
153,FBGN0031265-MONOMER,ORF
154,FBGN0050021-MONOMER,guanylate kinase activity
155,FBGN0040271-MONOMER,N-acetylglucosamine-6-sulfatase activity
156,FBGN0250838-MONOMER,ORF
157,FBGN0032053-MONOMER,structural constituent of ribosome
158,FBGN0017557-MONOMER,endopeptidase activity//threonine endopeptidase activity
159,FBGN0051989-MONOMER,binding
160,FBGN0031850-MONOMER,calcium ion binding
161,FBGN0040354-MONOMER,ORF
162,FBGN0033208-MONOMER,structural constituent of ribosome
163,FBGN0000409-MONOMER,"electron carrier activity//electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity//iron ion binding//heme binding"
164,FBGN0030521-MONOMER,cathepsin B activity
165,FBGN0062267-MONOMER,metalloendopeptidase activity
166,FBGN0030235-MONOMER,mRNA binding
167,FBGN0015773-MONOMER,protein binding
168,FBGN0039059-MONOMER,ORF
169,FBGN0040928-MONOMER,ORF
170,FBGN0036558-MONOMER,ubiquitin-protein ligase activity
171,FBGN0053556-MONOMER,actin binding
172,FBGN0037764-MONOMER,ORF
173,FBGN0015222-MONOMER,ferrous iron binding//oxidoreductase activity//ferric iron binding
174,FBGN0051780-MONOMER,serine-type peptidase activity
175,FBGN0040296-MONOMER,ORF
176,FBGN0034432-MONOMER,electron carrier activity//very-long-chain-acyl-CoA dehydrogenase activity//FAD binding
177,FBGN0039487-MONOMER,amino acid transmembrane transporter activity
178,FBGN0052580-MONOMER,Rab GTPase activator activity//Rho guanyl-nucleotide exchange factor activity
179,FBGN0028373-MONOMER,gap junction channel activity
180,FBGN0020633-MONOMER,nucleoside-triphosphatase activity
181,FBGN0033156-MONOMER,microtubule binding//protein binding
182,FBGN0085654-MONOMER,ORF
183,FBGN0034887-MONOMER,sulfotransferase activity
184,FBGN0036155-MONOMER,ORF
185,FBGN0085308-MONOMER,ORF
186,FBGN0054000-MONOMER,ORF
187,FBGN0011013-MONOMER,deoxyhypusine monooxygenase activity
188,FBGN0051704-MONOMER,serine-type endopeptidase inhibitor activity
189,FBGN0051304-MONOMER,protein binding
190,FBGN0011272-MONOMER,structural constituent of ribosome
191,FBGN0259703-MONOMER,ORF
192,FBGN0036860-MONOMER,ORF
193,FBGN0033739-MONOMER,cytoskeletal protein binding//structural constituent of muscle//zinc ion binding//calcium ion binding
194,FBGN0085238-MONOMER,ORF
195,FBGN0036672-MONOMER,transcription factor activity//zinc ion binding
196,FBGN0033720-MONOMER,"peptidase activity//hydrolase activity, hydrolyzing O-glycosyl compounds"
197,FBGN0034050-MONOMER,ORF
198,FBGN0031746-MONOMER,ORF
199,FBGN0040905-MONOMER,ORF
200,FBGN0085318-MONOMER,ORF
201,FBGN0000630-MONOMER,actin binding
202,FBGN0032744-MONOMER,binding
203,FBGN0033097-MONOMER,metal ion transmembrane transporter activity
204,FBGN0050169-MONOMER,ORF
205,FBGN0259726-MONOMER,ORF
206,FBGN0029745-MONOMER,ORF
207,FBGN0035891-MONOMER,ORF
208,FBGN0031971-MONOMER,ORF
209,FBGN0033569-MONOMER,zinc ion binding
210,FBGN0036374-MONOMER,phosphopantetheine binding
211,FBGN0086704-MONOMER,ORF
212,FBGN0032334-MONOMER,ORF
213,FBGN0053687-MONOMER,ORF
214,FBGN0042137-MONOMER,alcohol dehydrogenase activity
215,FBGN0030098-MONOMER,ORF
216,FBGN0051618-MONOMER,DNA binding
217,FBGN0028717-MONOMER,signal transducer activity//protein binding
218,FBGN0011276-MONOMER,transcription factor activity
219,FBGN0035247-MONOMER,S-adenosylmethionine-dependent methyltransferase activity
220,FBGN0032603-MONOMER,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water//heme binding//iron ion binding"
221,FBGN0032450-MONOMER,ATPase activity
