geneid	taxid	symbol	Full_name_from_nomenclature_authority
30970	7227	CG3038	-
30971	7227	G9a	-
30972	7227	CG13377	-
30973	7227	cin	cinnamon
30975	7227	ewg	erect wing
30976	7227	CG13375	-
30977	7227	CG12470	-
30978	7227	Or1a	Odorant receptor 1a
30979	7227	CG3777	-
30980	7227	y	yellow
30981	7227	ac	achaete
30982	7227	sc	scute
30983	7227	l(1)sc	lethal of scute
30984	7227	pcl	pepsinogen-like
30985	7227	ase	asense
30986	7227	Cyp4g1	Cytochrome P450-4g1
30988	7227	CG13373	-
30990	7227	CG3176	-
30991	7227	CG18273	-
30994	7227	CG3156	-
30995	7227	CG17896	-
30996	7227	CG17778	-
30998	7227	svr	silver
31000	7227	elav	embryonic lethal abnormal vision
31001	7227	CG4293	-
31002	7227	Appl	beta amyloid protein precursor-like
31003	7227	vnd	ventral nervous system defective
31004	7227	CG13366	-
31005	7227	CG13365	-
31006	7227	mod(r)	modifier of rudimentary
31007	7227	CG13369	-
31009	7227	RpL36	Ribosomal protein L36
31010	7227	l(1)1Bi	lethal (1) 1Bi
31011	7227	Dredd	Death related ced-3/Nedd2-like caspase
31012	7227	su(sable)	suppressor of sable
31013	7227	CG13367	-
31014	7227	Roc1a	Regulator of cullins 1a
31015	7227	Hmt4-20	Histone methyltransferase 4-20
31016	7227	SkpA	SKP1-related A
31017	7227	sdk	sidekick
31018	7227	CG13362	-
31019	7227	CG13361	-
31020	7227	CG5254	-
31021	7227	CG5273	-
31022	7227	RpL22	Ribosomal protein L22
31023	7227	fz3	frizzled 3
31024	7227	tw	Protein O-mannosyltransferase 2
31025	7227	CG13360	-
31026	7227	CG16989	-
31027	7227	Rbf	Retinoblastoma-family protein
31028	7227	CG13359	-
31029	7227	CG13358	-
31030	7227	Sec22	Sec22 ortholog (S. cerevisiae)
31031	7227	CG43867	-
31032	7227	CG14635	-
31033	7227	CG11664	-
31036	7227	CG11663	-
31037	7227	CG3711	-
31038	7227	MED22	Mediator complex subunit 22
31039	7227	CG3708	-
31042	7227	TRAM	-
31043	7227	CG3704	-
31044	7227	mus81	-
31045	7227	CG3703	-
31046	7227	CG3699	-
31047	7227	CG3690	-
31048	7227	TfIIA-S-2	-
31049	7227	CG14631	-
31050	7227	CG11638	-
31052	7227	CDC45L	-
31054	7227	su(w[a])	suppressor of white-apricot
31055	7227	CG14629	-
31056	7227	CG3655	-
31057	7227	CG14628	-
31059	7227	eIF4E-7	-
31060	7227	CG11378	-
31061	7227	CG11384	-
31062	7227	CG11379	-
31063	7227	CG14627	-
31064	7227	CG14626	-
31065	7227	CG11380	-
31066	7227	CG14625	-
31067	7227	CG11381	-
31068	7227	CG14624	-
31069	7227	CG11382	-
31070	7227	CG11398	-
31071	7227	CG3638	-
31072	7227	CG11403	-
31074	7227	CG32812	-
31075	7227	DAAM	Dishevelled Associated Activator of Morphogenesis
31078	7227	CG11409	-
31079	7227	CG11412	-
31080	7227	Tsp2A	Tetraspanin 2A
31081	7227	CG11418	-
31082	7227	CG12773	-
31083	7227	CG11417	-
31084	7227	png	pan gu
31085	7227	CG14770	-
31086	7227	ssx	sister-of-Sex-lethal
31089	7227	CG32813	-
31090	7227	CG11448	-
31093	7227	Gr2a	Gustatory receptor 2a
31094	7227	CG14785	-
31095	7227	Lrpprc2	Leucine-rich pentatricopeptide repeat containing 2
31096	7227	CG14787	-
31097	7227	Ns3	Nucleostemin ortholog (H. sapiens) 3
31098	7227	O-fut2	O-fucosyltransferase 2
31099	7227	CG14777	-
31100	7227	CG14778	-
31101	7227	pck	pickel
31102	7227	CG14780	-
31103	7227	Rab27	-
31104	7227	mei-38	meiotic 38
31105	7227	rush	rush hour
31106	7227	sta	stubarista
31107	7227	Nmdar2	NMDA receptor 2
31109	7227	CG14795	-
31110	7227	inc	insomniac
31111	7227	Mur2B	Mucin related 2B
31118	7227	dor	deep orange
31119	7227	CG3740	-
31120	7227	hfw	halfway
31121	7227	CG32809	-
31123	7227	CG14797	-
31124	7227	b6	-
31126	7227	CG14798	-
31127	7227	a6	-
31128	7227	CG3795	-
31129	7227	Scgdelta	Sarcoglycan delta
31130	7227	Adar	Adenosine deaminase acting on RNA
31131	7227	CG14810	-
31132	7227	CG14811	-
31136	7227	CG42666	-
31137	7227	CG14812	-
31139	7227	CG14814	-
31140	7227	MED18	Mediator complex subunit 18
31141	7227	Pex5	Peroxin 5
31142	7227	CG14803	-
31143	7227	Pgam5	Phosphoglycerate mutase 5
31144	7227	Vps26	Vacuolar protein sorting 26
31145	7227	CG14817	-
31146	7227	CG14805	-
31147	7227	CG14818	-
31148	7227	CG14806	-
31149	7227	trr	trithorax-related
31150	7227	mRpL16	mitochondrial ribosomal protein L16
31151	7227	arm	armadillo
31152	7227	CG32801	-
31153	7227	mip130	Myb-interacting protein 130
31154	7227	Edem1	ER degradation enhancer, mannosidase alpha-like 1
31155	7227	Rbcn-3B	Rabconnectin-3B
31156	7227	eIF2B-epsilon	-
31157	7227	Ocrl	Oculocerebrorenal syndrome of Lowe
31158	7227	CG11596	-
31160	7227	CG3587	-
31162	7227	Hr4	-
31163	7227	CG4406	-
31165	7227	usp	ultraspiracle
31166	7227	Actn	alpha actinin
31167	7227	CG4325	-
31168	7227	moody	-
31169	7227	CG4313	-
31170	7227	Sik2	Salt-inducible kinase 2
31171	7227	CG4281	-
31172	7227	CG14054	-
31173	7227	CG4194	-
31174	7227	CG4199	-
31175	7227	CG4061	-
31176	7227	CG4045	-
31177	7227	CG4025	-
31178	7227	CG16903	-
31179	7227	Unc-76	-
31181	7227	ph-p	polyhomeotic proximal
31184	7227	CG3835	-
31185	7227	Pgd	Phosphogluconate dehydrogenase
31186	7227	bcn92	-
31187	7227	wapl	wings apart-like
31188	7227	Cyp4d1	Cytochrome P450-4d1
31189	7227	CG3630	-
31190	7227	ND-B14.5A	NADH dehydrogenase (ubiquinone) B14.5 A subunit
31192	7227	Cyp4d2	Cytochrome P450-4d2
31193	7227	Cyp4ae1	Cytochrome P450-4ae1
31194	7227	pn	prune
31195	7227	Nmd3	Nonsense-mediated mRNA 3
31196	7227	CG3457	-
31197	7227	CG14053	-
31198	7227	Mct1	Monocarboxylate transporter 1
31200	7227	msta	-
31201	7227	Vinc	Vinculin
31203	7227	CG14052	-
31204	7227	pcx	pecanex
31205	7227	kz	kurz
31207	7227	Or2a	Odorant receptor 2a
31208	7227	crn	crooked neck
31209	7227	CG3191	-
31210	7227	CG3091	-
31211	7227	CG3078	-
31212	7227	temp	tempura
31213	7227	CG3071	-
31214	7227	CG2924	-
31215	7227	CG2918	-
31217	7227	CG2865	-
31218	7227	CG14050	-
31219	7227	CG2854	-
31220	7227	Ilp6	Insulin-like peptide 6
31221	7227	Raf	Raf oncogene
31222	7227	mRpL14	mitochondrial ribosomal protein L14
31224	7227	PsGEF	Protostome-specific GEF
31226	7227	CG12496	-
31227	7227	gt	giant
31228	7227	tko	technical knockout
31229	7227	boi	brother of ihog
31230	7227	z	zeste
31234	7227	Pdfr	Pigment-dispersing factor receptor
31235	7227	Vha36-3	Vacuolar H[+] ATPase 36kD subunit 3
31236	7227	CG13759	-
31237	7227	CG13760	-
31239	7227	egh	egghead
31240	7227	Klp3A	Kinesin-like protein at 3A
31243	7227	eIF3ga	eIF3g paralogue a
31244	7227	Tsp3A	Tetraspanin 3A
31245	7227	Seipin	-
31246	7227	brv3	brivido-3
31247	7227	PI4KIIIalpha	Phosphatidylinositol 4-kinase III alpha
31248	7227	sgg	shaggy
31249	7227	HLH3B	Helix loop helix protein 3B
31250	7227	CG2652	-
31251	7227	per	period
31252	7227	CG2650	-
31253	7227	CG2658	-
31254	7227	CG2662	-
31255	7227	Csat	-
31256	7227	eIF2B-beta	-
31257	7227	CG2680	-
31258	7227	CG2681	-
31259	7227	CG2685	-
31260	7227	CG2694	-
31261	7227	CG2701	-
31262	7227	fs(1)Yb	female sterile (1) Yb
31263	7227	fs(1)Ya	female sterile (1) Young arrest
31264	7227	CG2709	-
31265	7227	dwg	deformed wings
31266	7227	ttm50	tiny tim 50
31267	7227	CG2712	-
31268	7227	crm	cramped
31269	7227	Syx4	Syntaxin 4
31270	7227	CG32795	-
31271	7227	w	white
31272	7227	CG12498	-
31273	7227	CG14416	-
31274	7227	CG14417	-
31275	7227	CG14418	-
31276	7227	CG14419	-
31277	7227	CG3526	-
31278	7227	CG3588	-
31279	7227	CG14424	-
31280	7227	CG32793	-
31282	7227	CG3592	-
31283	7227	CG3598	-
31284	7227	CG14420	-
31285	7227	CG14421	-
31286	7227	CG14422	-
31287	7227	CG14423	-
31288	7227	CG17959	-
31289	7227	CG3603	-
31290	7227	rst	roughest
31291	7227	CG4116	-
31292	7227	kirre	kin of irre
31293	7227	N	Notch
31294	7227	Fcp3C	Follicle cell protein 3C
31295	7227	CG3939	-
31297	7227	CG14265	-
31298	7227	ng2	new glue 2
31299	7227	ng3	new glue 3
31300	7227	ng1	new glue 1
31301	7227	ng4	new glue 4
31303	7227	Pig1	Pre-intermoult gene 1
31304	7227	Sgs4	Salivary gland secretion 4
31308	7227	CG10793	-
31309	7227	dnc	dunce
31310	7227	Myc	-
31311	7227	CG12535	-
31312	7227	CG14269	-
31313	7227	CG16782	-
31314	7227	CG10801	-
31315	7227	CG16781	-
31316	7227	CG12206	-
31317	7227	CG10804	-
31318	7227	CG10802	-
31319	7227	CG14270	-
31320	7227	CG10803	-
31321	7227	Gas8	Growth arrest specific protein 8
31322	7227	DIP-alpha	Dpr-interacting protein alpha
31323	7227	CG13021	-
31326	7227	CG2875	-
31328	7227	Ilp7	Insulin-like peptide 7
31329	7227	Parg	Poly(ADP-ribose) glycohydrolase
31331	7227	Mnt	-
31332	7227	Rala	Ras-like protein A
31335	7227	HIP-R	Hsc/Hsp70-interacting protein related
31336	7227	fd3F	forkhead domain 3F
31338	7227	CG2901	-
31339	7227	ec	echinus
31340	7227	yin	-
31341	7227	CG2930	-
31342	7227	VhaAC39-1	Vacuolar H[+] ATPase AC39 subunit 1
31343	7227	CG15239	-
31344	7227	CG42541	-
31347	7227	CG2938	-
31348	7227	CG2941	-
31349	7227	Vap-33A	VAMP-associated protein of 33kDa ortholog A
31350	7227	lva	lava lamp
31351	7227	CG6428	-
31352	7227	CG6414	-
31353	7227	CG43689	-
31355	7227	CG6379	-
31356	7227	CG15375	-
31357	7227	Xpac	Xeroderma pigmentosum group A-like
31358	7227	brn	brainiac
31359	7227	cib	ciboulot
31361	7227	dgt4	dim gamma-tubulin 4
31362	7227	Tip60	Tat interactive protein 60kDa
31363	7227	tyf	twenty-four
31364	7227	Fas2	Fasciclin 2
31365	7227	CG15571	-
31366	7227	CG15570	-
31367	7227	Femcoat	-
31368	7227	Muc4B	Mucin 4B
31369	7227	CG15576	-
31370	7227	CG12691	-
31371	7227	CG15572	-
31372	7227	CG12692	-
31373	7227	mei-9	meiotic 9
31374	7227	CG2982	-
31375	7227	CG12693	-
31376	7227	norpA	no receptor potential A
31377	7227	CG3626	-
31378	7227	CG12688	-
31379	7227	bi	bifid
31380	7227	CG3556	-
31381	7227	rb	ruby
31382	7227	CHOp24	-
31383	7227	CG3568	-
31384	7227	Usf	-
31385	7227	CG15912	-
31386	7227	CG11436	-
31387	7227	CG3527	-
31388	7227	CG11444	-
31389	7227	CG3546	-
31390	7227	CG12684	-
31391	7227	peb	pebbled
31392	7227	CG12184	-
31393	7227	CG12179	-
31394	7227	pon	partner of numb
31395	7227	CG3081	-
31396	7227	CG3062	-
31397	7227	HLH4C	Helix loop helix protein 4C
31398	7227	mRpL30	mitochondrial ribosomal protein L30
31399	7227	Torsin	-
31401	7227	CG15473	-
31402	7227	CG3009	-
31404	7227	Pp2C1	Protein phosphatase 2C
31405	7227	ctp	cut up
31406	7227	l(1)G0334	lethal (1) G0334
31407	7227	CG7024	-
31408	7227	Proc-R	Proctolin receptor
31409	7227	CG15472	-
31410	7227	Bteb2	-
31411	7227	CG2871	-
31412	7227	CG15471	-
31413	7227	CG6978	-
31414	7227	CG2861	-
31415	7227	CG12682	-
31416	7227	CG12681	-
31419	7227	CG6927	-
31420	7227	CG32772	-
31422	7227	CG4041	-
31423	7227	CG6903	-
31424	7227	CG44774	-
31425	7227	Ptp4E	Protein tyrosine phosphatase 4E
31426	7227	CG15468	-
31427	7227	CG12680	-
31429	7227	ovo	-
31430	7227	CG32767	-
31433	7227	Rpn13R	Regulatory particle non-ATPase 13-related
31434	7227	CG15465	-
31435	7227	CG5062	-
31438	7227	CG42749	-
31439	7227	CG3323	-
31440	7227	CG17764	-
31441	7227	Cdk7	Cyclin-dependent kinase 7
31442	7227	snf	sans fille
31443	7227	TrxT	Thioredoxin T
31444	7227	dhd	deadhead
31445	7227	CG4198	-
31446	7227	CG15930	-
31447	7227	Sas10	Something about silencing 10 ortholog (S. cerevisiae)
31448	7227	Rnp4F	RNA-binding protein 4F
31449	7227	Mcm3	Minichromosome maintenance 3
31450	7227	CG3309	-
31451	7227	XRCC1	-
31456	7227	SK	small conductance calcium-activated potassium channel
31457	7227	NAAT1	Nutrient Amino Acid Transporter 1
31458	7227	Usp16-45	Ubiquitin specific protease 16/45
31459	7227	spoon	spoonbill
31460	7227	CG16756	-
31461	7227	CG15784	-
31463	7227	SPR	Sex peptide receptor
31464	7227	frma	fra mauro
31465	7227	CG4151	-
31466	7227	CG12730	-
31469	7227	Vsx2	Visual system homeobox 2 ortholog
31470	7227	Vsx1	Visual system homeobox 1 ortholog
31471	7227	CG34435	-
31472	7227	CG34434	-
31473	7227	RhoGAP5A	Rho GTPase activating protein at 5A
31474	7227	Mlc-c	Myosin light chain cytoplasmic
31475	7227	l(1)G0045	lethal (1) G0045
31480	7227	Sirt4	Sirtuin 4
31481	7227	CG4119	-
31483	7227	RpL35	Ribosomal protein L35
31486	7227	CG42449	-
31487	7227	CG3160	-
31489	7227	CG3149	-
31490	7227	CG4096	-
31491	7227	CG33080	-
31493	7227	CG32758	-
31494	7227	CG15773	-
31496	7227	IntS6	Integrator 6
31497	7227	CG4078	-
31498	7227	CG15772	-
31499	7227	lin-52	-
31500	7227	CG15771	-
31503	7227	CG3097	-
31504	7227	CG42264	-
31506	7227	CG3108	-
31507	7227	CG42699	-
31508	7227	CG15767	-
31509	7227	CG12239	-
31510	7227	Cpr5C	Cuticular protein 5C
31511	7227	Prosbeta2R1	Proteasome beta2 subunit-related 1
31512	7227	CG15766	-
31513	7227	CG15765	-
31515	7227	CG12729	-
31516	7227	CG15764	-
31517	7227	GAA1	Glycosylphosphatidylinositol anchor attachment 1 ortholog (H. sapiens)
31518	7227	mof	males absent on the first
31519	7227	Usp30	Ubiquitin specific protease 30
31520	7227	CG16721	-
31521	7227	Act5C	Actin 5C
31522	7227	CG4020	-
31523	7227	CG12236	-
31524	7227	CG3011	-
31525	7227	CG3726	-
31526	7227	CG12728	-
31527	7227	CG6041	-
31528	7227	CG6048	-
31529	7227	CG6067	-
31532	7227	CG5966	-
31533	7227	CG4766	-
31535	7227	rux	roughex
31536	7227	MCTS1	Malignant T cell amplified sequence 1
31537	7227	CG5937	-
31538	7227	CG5921	-
31539	7227	CG5928	-
31540	7227	Tsp5D	Tetraspanin 5D
31541	7227	CG4666	-
31542	7227	CG4660	-
31543	7227	raptor	-
31544	7227	Mipp2	Multiple inositol polyphosphate phosphatase 2
31547	7227	Nep1	Neprilysin 1
31550	7227	Ca-alpha1T	Ca[2+]-channel protein alpha[[1]] subunit T
31551	7227	vanin-like	-
31552	7227	Btnd	Biotinidase
31553	7227	Efr	ER GDP-fucose transporter
31554	7227	sqh	spaghetti squash
31555	7227	CG14446	-
31556	7227	CG14445	-
31557	7227	Rbcn-3A	Rabconnectin-3A
31558	7227	Spx	Spliceosomal protein on the X
31560	7227	CG3781	-
31562	7227	CG3566	-
31564	7227	CG11700	-
31565	7227	Top3beta	Topoisomerase 3beta
31566	7227	wuho	-
31567	7227	Rpt4	Regulatory particle triple-A ATPase 4
31568	7227	CG15896	-
31571	7227	CG3815	-
31572	7227	CG12219	-
31573	7227	CG3823	-
31574	7227	CG15894	-
31576	7227	CG3842	-
31577	7227	CG3847	-
31578	7227	ND-B16.6	NADH dehydrogenase (ubiquinone) B16.6 subunit
31579	7227	kdn	knockdown
31580	7227	swa	swallow
31581	7227	Marf	Mitochondrial assembly regulatory factor
31582	7227	PpV	Protein phosphatase V
31585	7227	CG3918	-
31586	7227	CG3342	-
31587	7227	Spat	Serine pyruvate aminotransferase
31588	7227	RpL7A	Ribosomal protein L7A
31589	7227	dx	deltex
31591	7227	CG34417	-
31592	7227	CG17717	-
31593	7227	Pat1	Protein interacting with APP tail-1
31594	7227	APC7	Anaphase Promoting Complex subunit 7
31595	7227	CG14443	-
31596	7227	pigs	pickled eggs
31597	7227	CG3226	-
31598	7227	Cdc7	Cdc7 kinase
31600	7227	CG3224	-
31601	7227	Ctr1A	Copper transporter 1A
31602	7227	CG3198	-
31603	7227	Mcm6	Minichromosome maintenance 6
31604	7227	ND-ASHI	NADH dehydrogenase (ubiquinone) ASHI subunit
31605	7227	l(1)G0255	lethal (1) G0255
31606	7227	CG4095	-
31607	7227	Pink1	PTEN-induced putative kinase 1
31608	7227	CG3184	-
31609	7227	CG14442	-
31610	7227	CG14440	-
31611	7227	CG14441	-
31612	7227	CG3168	-
31613	7227	RpL17	Ribosomal protein L17
31614	7227	CG14439	-
31615	7227	CG14438	-
31617	7227	shf	shifted
31618	7227	C3G	C3G ortholog (H. sapiens)
31620	7227	pod1	-
31621	7227	iav	inactive
31622	7227	Nf-YC	Nuclear factor Y-box C
31623	7227	xit	xiantuan
31624	7227	Atx-1	Ataxin 1
31625	7227	nonC	no-on-and-no-off transient C
31626	7227	CG12796	-
31628	7227	CG14435	-
31629	7227	CG4557	-
31630	7227	Cht11	-
31631	7227	CG4558	-
31632	7227	CG14434	-
31638	7227	CG32732	-
31639	7227	CG14431	-
31641	7227	CG4586	-
31642	7227	CG3040	-
31644	7227	bou	boudin
31645	7227	Inx6	Innexin 6
31646	7227	Inx2	Innexin 2
31647	7227	cm	carmine
31648	7227	CG3032	-
31649	7227	CG4593	-
31650	7227	CG12541	-
31651	7227	CG14427	-
31652	7227	nullo	-
31653	7227	CG4607	-
31656	7227	CG4615	-
31657	7227	CG4617	-
31658	7227	CG8300	-
31659	7227	fz4	frizzled 4
31660	7227	CG9650	-
31661	7227	CG1958	-
31662	7227	CG1677	-
31663	7227	CG2059	-
31664	7227	unc-119	-
31665	7227	brk	brinker
31666	7227	Atg5	Autophagy-related 5
31667	7227	Dok	Downstream of kinase
31668	7227	CG18155	-
31669	7227	CBP	sarcoplasmic calcium-binding protein
31670	7227	CG15034	-
31671	7227	CG1999	-
31672	7227	CheA7a	Chemosensory protein A 7a
31673	7227	CG15035	-
31674	7227	CG9657	-
31675	7227	CG11369	-
31676	7227	CG12689	-
31678	7227	CHES-1-like	Checkpoint suppressor homologue
31679	7227	CG15478	-
31680	7227	Hira	-
31681	7227	NELF-B	-
31682	7227	CG12155	-
31683	7227	Pdp	Pyruvate dehydrogenase phosphatase
31684	7227	Rab39	-
31686	7227	Ir7a	Ionotropic receptor 7a
31687	7227	CG1402	-
31688	7227	CG10920	-
31689	7227	CG1409	-
31690	7227	Ir7b	Ionotropic receptor 7b
31691	7227	dec-1	defective chorion 1
31692	7227	Ir7c	Ionotropic receptor 7c
31694	7227	Ir7g	Ionotropic receptor 7g
31695	7227	CG10932	-
31696	7227	Nek2	-
31697	7227	ND-MNLL	NADH dehydrogenase (ubiquinone) MNLL subunit
31698	7227	p115	-
31700	7227	RpS6	Ribosomal protein S6
31701	7227	bys	by S6
31702	7227	dpr14	defective proboscis extension response 14
31703	7227	CG1444	-
31704	7227	snz	snazarus
31705	7227	hdm	hold'em
31706	7227	Ykt6	YKT6 ortholog (S. cerevisiae)
31707	7227	CG10777	-
31708	7227	CG10778	-
31712	7227	l(1)G0193	lethal (1) G0193
31713	7227	Ubr3	Ubr3 ubiquitin ligase
31714	7227	CG15332	-
31715	7227	CG15330	-
31716	7227	sws	swiss cheese
31717	7227	sn	singed
31718	7227	Tbh	Tyramine beta hydroxylase
31720	7227	CG15333	-
31721	7227	CG2233	-
31722	7227	fs(1)h	female sterile (1) homeotic
31724	7227	Upf2	-
31725	7227	CG1571	-
31726	7227	CG2254	-
31727	7227	CG2256	-
31728	7227	UbcE2H	Ubiquitin conjugating enzyme E2H
31729	7227	CG2258	-
31731	7227	CG1575	-
31732	7227	CG2260	-
31733	7227	cyr	cypher
31735	7227	CG2116	-
31736	7227	CG10958	-
31737	7227	CG2120	-
31738	7227	Smox	Smad on X
31739	7227	CG17982	-
31740	7227	alpha-PheRS	Phenylalanyl-tRNA synthetase alpha subunit
31741	7227	CG2129	-
31742	7227	CG15336	-
31743	7227	CG10959	-
31744	7227	Gbeta5	-
31745	7227	CG18262	-
31746	7227	Traf6	TNF-receptor-associated factor 6
31747	7227	GIIIspla2	-
31748	7227	CG15337	-
31749	7227	CG10761	-
31750	7227	Or7a	Odorant receptor 7a
31751	7227	CG2278	-
31759	7227	CG2147	-
31760	7227	Trxr-1	Thioredoxin reductase-1
31761	7227	sni	sniffer
31762	7227	ND-75	NADH dehydrogenase (ubiquinone) 75 kDa subunit
31763	7227	CG1632	-
31764	7227	Corp	Companion of reaper
31765	7227	CG15343	-
31766	7227	CG1636	-
